success,message,N_B,D_B,Q,loss,total_cost_flops,budget_slack_flops,base_train_attn_cost_flops,quality_cost_flops,budget_flops,Lctx,cost_family,Q0,support_status,n_starts,successful_starts,unique_objectives,selected_from_successful_start,N_at_bound,D_at_bound,Q_at_bound
True,Optimization terminated successfully,6.156071894222298,123.00587355478605,0.9999999999999986,2.1522200120476422,1.0000000000000042e+22,-41943040.0,9.5060002015404e+21,4.9399979845964195e+20,1e+22,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,4.6252571603598045e+22,9.537474283964019e+23,4.504818129866293e+22,1.2043903049351123e+21,1e+24,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.14445953786678384,1.7477125044231332,0.781325939214847,3.6197966275867492,1.000000000000973e+19,-9730048.0,8.133290072823747e+18,1.8667099271859832e+18,1e+19,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.744287395019175,80.23361550899462,0.9999999999999996,2.2440049039080563,1.0000000000000117e+22,-117440512.0,9.677776444769004e+21,3.222235552311137e+20,1e+22,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,1.1680470667853689e+23,8.831952933214631e+23,1.1560031637360177e+23,1.2043903049351123e+21,1e+24,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.33382293098781285,3.7277096732355184,0.5741767160779202,3.2848219362917406,1.0000000000020451e+19,-20451328.0,7.976073993245373e+18,2.0239260067750781e+18,1e+19,2048,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.999903385450464,159.52708326500863,1.0,2.095574737395496,1.000000000000204e+22,-2040528896.0,9.202444347218631e+21,7.975556527834106e+20,1e+22,2048,power,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.449995414124455e+22,9.755000458587555e+23,2.300063908774455e+22,1.4993150534999993e+21,1e+24,2048,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3234403387374978,3.617456289790432,0.5783126563874283,3.297560193370763,1.0000000000002865e+19,-2865152.0,7.978677357342351e+18,2.0213226426605143e+18,1e+19,4096,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.69914643211823,155.47089804143667,0.9999999999999999,2.1006564186144687,1.0000000000000264e+22,-264241152.0,9.222723245242102e+21,7.772767547581623e+20,1e+22,4096,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.5969790288639105e+22,9.740302097113609e+23,2.4470475235139105e+22,1.4993150534999993e+21,1e+24,4096,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.30525625241844573,3.423916085227679,0.5859649383333105,3.3211821031545217,1.0000000000006222e+19,-6221824.0,7.983440221908399e+18,2.0165597780978235e+18,1e+19,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.17552932884221,148.26354501396153,1.0,2.1100886595070625,1.000000000000081e+22,-809500672.0,9.258756406703508e+21,7.412435932973008e+20,1e+22,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.8909462583428222e+22,9.710905374165717e+23,2.7410147529928223e+22,1.4993150534999993e+21,1e+24,8192,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.23693037146018167,2.6911015454445395,0.6206921157122305,3.4292435351748907,1.000000000000314e+19,-3139584.0,8.004221667710184e+18,1.995778332292956e+18,1e+19,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,6.244428730882756,119.91908745078273,1.0,2.153364624646432,1.0000000000001715e+22,-1715470336.0,9.400464522291527e+21,5.995354777101883e+20,1e+22,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,4.654749635216292e+22,9.53452503647837e+23,4.504818129866293e+22,1.4993150534999993e+21,1e+24,32768,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.14652704500496816,1.703976731410593,0.6923453099465845,3.6564495750847197,1.0000000000000326e+19,-325632.0,8.043248714711391e+18,1.9567512852889344e+18,1e+19,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.780214891620156,78.87875141868827,0.9999999999999999,2.2448499583198185,1.0000000000000088e+22,-88080384.0,9.605645682282355e+21,3.943543177177318e+20,1e+22,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,1.1709963142710176e+23,8.829003685728982e+23,1.1560031637360177e+23,1.4993150534999993e+21,1e+24,131072,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.5763016305854399,1.4077846603106359,0.9999999999999998,3.314638283044479,1.0000000000009765e+19,-9764864.0,5.200163572115613e+18,4.799836427894151e+18,1e+19,2048,logarithmic,0.1,inside_B1_B6_support,6,6,3,True,False,False,True
True,Optimization terminated successfully,8.728807091646676,168.47025837750817,1.0,2.093280307632983,1.0000000000007797e+22,-7797211136.0,9.425601296871853e+21,5.7439870313594336e+20,1e+22,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.4023123126995865e+22,9.759768768730042e+23,2.300063908774455e+22,1.0224840392513159e+21,1e+24,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.5521388054981157,1.3937979368017888,1.0,3.325593466392186,1.000000000000774e+19,-7739392.0,5.247851252550333e+18,4.752148747457406e+18,1e+19,4096,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,8.443308030567522,163.971784091762,1.0,2.0984050182268414,1.0000000000003282e+22,-3282042880.0,9.440938827780557e+21,5.5906117222272454e+20,1e+22,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.549295927439042e+22,9.745070407256095e+23,2.4470475235139105e+22,1.0224840392513159e+21,1e+24,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.5105799461419214,1.3680807521056322,0.9999999999999999,3.3459988840749597,1.000000000000671e+19,-6709248.0,5.335533895646337e+18,4.664466104360372e+18,1e+19,8192,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,7.945497843960194,156.00529858174377,1.0,2.1079144033415287,1.0000000000001936e+22,-1935671296.0,9.468100529729309e+21,5.318994702726273e+20,1e+22,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.843263156917954e+22,9.715673684308204e+23,2.7410147529928223e+22,1.0224840392513159e+21,1e+24,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3635213059315378,1.2542334690046786,1.0,3.440771544639192,1.0000000000008638e+19,-8638464.0,5.723695772994021e+18,4.276304227014616e+18,1e+19,32768,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,6.100500185985328,125.01135209452377,1.0,2.1515034018607264,1.0000000000000342e+22,-341835776.0,9.573774272017772e+21,4.26225727982571e+20,1e+22,32768,logarithmic,0.1,inside_B1_B6_support,6,5,2,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,4.607066533791424e+22,9.539293346620857e+23,4.504818129866293e+22,1.0224840392513159e+21,1e+24,32768,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.19361969006832835,1.0366090588202177,1.0,3.6468466182076424,1.0000000000000725e+19,-724992.0,6.465685369159052e+18,3.534314630841672e+18,1e+19,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,3.721828950965657,81.09906573546262,1.0,2.243478463167027,1.000000000000698e+22,-6979321856.0,9.723493044817282e+21,2.7650695518969712e+20,1e+22,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,1.1662280041285308e+23,8.83377199587147e+23,1.1560031637360177e+23,1.0224840392513159e+21,1e+24,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
