success,message,N_B,D_B,Q,loss,total_cost_flops,budget_slack_flops,base_train_attn_cost_flops,quality_cost_flops,budget_flops,Lctx,cost_family,Q0,support_status,n_starts,successful_starts,unique_objectives,selected_from_successful_start,N_at_bound,D_at_bound,Q_at_bound
True,Optimization terminated successfully,6.156071894222298,123.00587355478605,0.9999999999999986,2.1522200120476422,1.0000000000000042e+22,-41943040.0,9.5060002015404e+21,4.9399979845964195e+20,1e+22,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,4.6252571603598045e+22,9.537474283964019e+23,4.504818129866293e+22,1.2043903049351123e+21,1e+24,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.14445953786678384,1.7477125044231332,0.781325939214847,3.6197966275867492,1.000000000000973e+19,-9730048.0,8.133290072823747e+18,1.8667099271859832e+18,1e+19,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.744287395019175,80.23361550899462,0.9999999999999996,2.2440049039080563,1.0000000000000117e+22,-117440512.0,9.677776444769004e+21,3.222235552311137e+20,1e+22,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,1.1680470667853689e+23,8.831952933214631e+23,1.1560031637360177e+23,1.2043903049351123e+21,1e+24,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.33382293098781285,3.7277096732355184,0.5741767160779202,3.2848219362917406,1.0000000000020451e+19,-20451328.0,7.976073993245373e+18,2.0239260067750781e+18,1e+19,2048,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.999903385450464,159.52708326500863,1.0,2.095574737395496,1.000000000000204e+22,-2040528896.0,9.202444347218631e+21,7.975556527834106e+20,1e+22,2048,power,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.449995414124455e+22,9.755000458587555e+23,2.300063908774455e+22,1.4993150534999993e+21,1e+24,2048,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3234403387374978,3.617456289790432,0.5783126563874283,3.297560193370763,1.0000000000002865e+19,-2865152.0,7.978677357342351e+18,2.0213226426605143e+18,1e+19,4096,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.69914643211823,155.47089804143667,0.9999999999999999,2.1006564186144687,1.0000000000000264e+22,-264241152.0,9.222723245242102e+21,7.772767547581623e+20,1e+22,4096,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.5969790288639105e+22,9.740302097113609e+23,2.4470475235139105e+22,1.4993150534999993e+21,1e+24,4096,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.30525625241844573,3.423916085227679,0.5859649383333105,3.3211821031545217,1.0000000000006222e+19,-6221824.0,7.983440221908399e+18,2.0165597780978235e+18,1e+19,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.17552932884221,148.26354501396153,1.0,2.1100886595070625,1.000000000000081e+22,-809500672.0,9.258756406703508e+21,7.412435932973008e+20,1e+22,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.8909462583428222e+22,9.710905374165717e+23,2.7410147529928223e+22,1.4993150534999993e+21,1e+24,8192,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.23693037146018167,2.6911015454445395,0.6206921157122305,3.4292435351748907,1.000000000000314e+19,-3139584.0,8.004221667710184e+18,1.995778332292956e+18,1e+19,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,6.244428730882756,119.91908745078273,1.0,2.153364624646432,1.0000000000001715e+22,-1715470336.0,9.400464522291527e+21,5.995354777101883e+20,1e+22,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,4.654749635216292e+22,9.53452503647837e+23,4.504818129866293e+22,1.4993150534999993e+21,1e+24,32768,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.14652704500496816,1.703976731410593,0.6923453099465845,3.6564495750847197,1.0000000000000326e+19,-325632.0,8.043248714711391e+18,1.9567512852889344e+18,1e+19,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.780214891620156,78.87875141868827,0.9999999999999999,2.2448499583198185,1.0000000000000088e+22,-88080384.0,9.605645682282355e+21,3.943543177177318e+20,1e+22,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,1.1709963142710176e+23,8.829003685728982e+23,1.1560031637360177e+23,1.4993150534999993e+21,1e+24,131072,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.5763016305854399,1.4077846603106359,0.9999999999999998,3.314638283044479,1.0000000000009765e+19,-9764864.0,5.200163572115613e+18,4.799836427894151e+18,1e+19,2048,logarithmic,0.1,inside_B1_B6_support,6,6,3,True,False,False,True
True,Optimization terminated successfully,8.728807091646676,168.47025837750817,1.0,2.093280307632983,1.0000000000007797e+22,-7797211136.0,9.425601296871853e+21,5.7439870313594336e+20,1e+22,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.4023123126995865e+22,9.759768768730042e+23,2.300063908774455e+22,1.0224840392513159e+21,1e+24,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.5521388054981157,1.3937979368017888,1.0,3.325593466392186,1.000000000000774e+19,-7739392.0,5.247851252550333e+18,4.752148747457406e+18,1e+19,4096,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,8.443308030567522,163.971784091762,1.0,2.0984050182268414,1.0000000000003282e+22,-3282042880.0,9.440938827780557e+21,5.5906117222272454e+20,1e+22,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.549295927439042e+22,9.745070407256095e+23,2.4470475235139105e+22,1.0224840392513159e+21,1e+24,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.5105799461419214,1.3680807521056322,0.9999999999999999,3.3459988840749597,1.000000000000671e+19,-6709248.0,5.335533895646337e+18,4.664466104360372e+18,1e+19,8192,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,7.945497843960194,156.00529858174377,1.0,2.1079144033415287,1.0000000000001936e+22,-1935671296.0,9.468100529729309e+21,5.318994702726273e+20,1e+22,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,2.843263156917954e+22,9.715673684308204e+23,2.7410147529928223e+22,1.0224840392513159e+21,1e+24,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3635213059315378,1.2542334690046786,1.0,3.440771544639192,1.0000000000008638e+19,-8638464.0,5.723695772994021e+18,4.276304227014616e+18,1e+19,32768,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,6.100500185985328,125.01135209452377,1.0,2.1515034018607264,1.0000000000000342e+22,-341835776.0,9.573774272017772e+21,4.26225727982571e+20,1e+22,32768,logarithmic,0.1,inside_B1_B6_support,6,5,2,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,4.607066533791424e+22,9.539293346620857e+23,4.504818129866293e+22,1.0224840392513159e+21,1e+24,32768,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.19361969006832835,1.0366090588202177,1.0,3.6468466182076424,1.0000000000000725e+19,-724992.0,6.465685369159052e+18,3.534314630841672e+18,1e+19,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,3.721828950965657,81.09906573546262,1.0,2.243478463167027,1.000000000000698e+22,-6979321856.0,9.723493044817282e+21,2.7650695518969712e+20,1e+22,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965824999999997,299.89299999999986,1.0,2.0219298975598545,1.1662280041285308e+23,8.83377199587147e+23,1.1560031637360177e+23,1.0224840392513159e+21,1e+24,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3387568147508514,3.6314357209405026,0.693909131014376,3.2451927852439586,1.0000000000009228e+19,-9228288.0,7.884920692447769e+18,2.1150793075614597e+18,1e+19,2048,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.82658755344001,165.15634753482038,1.0,2.0941049370626583,1.0000000000019787e+22,-19786629120.0,9.343703116574349e+21,6.562968834454372e+20,1e+22,2048,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.4192351330143266e+22,9.758076486698567e+23,2.3000639087744553e+22,1.1917122423987147e+21,1e+24,2048,exponential,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.32771889060642795,3.5336611445605843,0.6971716215634811,3.2578817081164204,1.0000000000003236e+19,-3235840.0,7.896957580699588e+18,2.1030424193036472e+18,1e+19,4096,exponential,0.3,inside_B1_B6_support,6,6,2,True,False,False,False
True,Optimization terminated successfully,8.53555317521331,160.8248754884248,1.0,2.09921393803079,1.000000000000215e+22,-2149580800.0,9.360915483185134e+21,6.390845168170149e+20,1e+22,4096,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.5662187477537827e+22,9.743378125224622e+23,2.4470475235139114e+22,1.1917122423987147e+21,1e+24,4096,exponential,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3084278788232425,3.361377566216741,0.7031462837576037,3.2814263883662074,1.0000000000006259e+19,-6258688.0,7.919054314331812e+18,2.0809456856744476e+18,1e+19,8192,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.028385004718864,153.14449881064868,0.9999999999999996,2.108695184068938,1.0000000000009024e+22,-9024045056.0,9.391435698445916e+21,6.085643015631081e+20,1e+22,8192,exponential,0.3,inside_B1_B6_support,6,5,2,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.8601859772326944e+22,9.713981402276731e+23,2.741014752992823e+22,1.1917122423987147e+21,1e+24,8192,exponential,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.23647708656109992,2.7003069740905308,0.7293222647600559,3.389363398533515,1.0000000000004755e+19,-4755456.0,8.016235930585822e+18,1.983764069418934e+18,1e+19,32768,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,6.152224636899645,123.14306619281585,1.0,2.1521703355668382,1.0000000000000413e+22,-413138944.0,9.51065513517031e+21,4.8934486483010316e+20,1e+22,32768,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,4.623989354106166e+22,9.537601064589384e+23,4.5048181298662946e+22,1.1917122423987147e+21,1e+24,32768,exponential,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.14297803630646874,1.7801403132622071,0.7791284061458176,3.6174315813965072,1.0000000000002361e+19,-2361344.0,8.19924021807014e+18,1.8007597819322217e+18,1e+19,131072,exponential,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.742729916385207,80.29317280623731,1.0,2.243968344181297,1.0000000000096863e+22,-96863256576.0,9.680931675680392e+21,3.190683244164708e+20,1e+22,131072,exponential,0.3,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,1.1679202861600052e+23,8.832079713839995e+23,1.156003163736018e+23,1.1917122423987147e+21,1e+24,131072,exponential,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.32587881573685945,3.8913169784107122,0.5683107882299029,3.280935697785652,1.000000000000762e+19,-7620608.0,8.12799945749817e+18,1.87200054250945e+18,1e+19,2048,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.993244997643153,159.73776646580328,1.0,2.095518096001605,1.0000000000032466e+22,-32466010112.0,9.207780547245315e+21,7.922194527871513e+20,1e+22,2048,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.4487958421244553e+22,9.755120415787554e+23,2.3000639087744553e+22,1.4873193334999988e+21,1e+24,2048,power,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3159782324195945,3.7712190455904158,0.5725860249378228,3.2937585179785622,1.0000000000004923e+19,-4923392.0,8.125916435090216e+18,1.874083564914708e+18,1e+19,4096,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.692858686442007,155.67148110407865,1.0,2.1006008144722825,1.0000000000000023e+22,-23068672.0,9.227947289464344e+21,7.72052710535678e+20,1e+22,4096,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.5957794568639114e+22,9.740422054313609e+23,2.4470475235139114e+22,1.4873193334999988e+21,1e+24,4096,power,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.29860195202998957,3.5611788267130104,0.5804844929508358,3.317530421559341,1.000000000000727e+19,-7270400.0,8.122483211849913e+18,1.877516788157356e+18,1e+19,8192,power,0.3,inside_B1_B6_support,6,6,2,True,False,False,False
True,Optimization terminated successfully,8.169873413555258,148.4466665169202,0.9999999999999999,2.1100349175238096,1.0000000000013315e+22,-13314818048.0,9.26377875742265e+21,7.362212425906654e+20,1e+22,8192,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.889746686342823e+22,9.711025331365717e+23,2.741014752992823e+22,1.4873193334999988e+21,1e+24,8192,power,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.23289823076999047,2.7747534172298,0.6161664247261552,3.4261805544514106,1.0000000000001745e+19,-1744896.0,8.112577725864464e+18,1.8874222741372805e+18,1e+19,32768,power,0.3,inside_B1_B6_support,6,5,2,True,False,False,False
True,Optimization terminated successfully,6.2408755066097354,120.04087906780869,1.0,2.1533184724137535,1.000000000006754e+22,-67540877312.0,9.404657260330745e+21,5.953427397367971e+20,1e+22,32768,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,4.653550063216294e+22,9.53464499367837e+23,4.5048181298662946e+22,1.4873193334999988e+21,1e+24,32768,power,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.14496417320577898,1.7368773543350184,0.6891871714107708,3.6542515440767334,1.000000000000695e+19,-6950912.0,8.111102369969426e+18,1.8888976300375255e+18,1e+19,131072,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.778765237409345,78.93273167707744,1.0,2.244815786923405,1.0000000000007468e+22,-7467958272.0,9.608533117255002e+21,3.9146688275246553e+20,1e+22,131072,power,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,1.170876357071018e+23,8.829123642928982e+23,1.156003163736018e+23,1.4873193334999988e+21,1e+24,131072,power,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.4778592938747174,1.966147364881941,1.0,3.2406816749020595,1.0000000000006584e+19,-6584320.0,6.022087066388958e+18,3.977912933617626e+18,1e+19,2048,logarithmic,0.3,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,8.480479999193038,177.36884743232756,1.0,2.0912022825506593,1.0000000000008416e+22,-8415870976.0,9.641147024476608e+21,3.588529755318076e+20,1e+22,2048,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.360738315215654e+22,9.763926168478434e+23,2.3000639087744553e+22,6.067440644119884e+20,1e+24,2048,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.4584349328431519,1.9419884105319316,1.0,3.2522225780159424,1.0000000000034146e+19,-34146304.0,6.070965506907857e+18,3.9290344931262894e+18,1e+19,4096,logarithmic,0.3,inside_B1_B6_support,6,6,3,True,False,False,True
True,Optimization terminated successfully,8.209222510185024,172.40329444193864,1.0,2.0963678938076478,1.0000000000001655e+22,-1654652928.0,9.651193340333977e+21,3.4880665966767715e+20,1e+22,4096,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.50772192995511e+22,9.749227807004489e+23,2.4470475235139114e+22,6.067440644119884e+20,1e+24,4096,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.4249793141209404,1.8977623008302693,0.9999999999999999,3.273707548550517,1.0000000000006038e+19,-6037504.0,6.160443852668137e+18,3.8395561473378995e+18,1e+19,8192,logarithmic,0.3,inside_B1_B6_support,6,6,2,True,False,False,True
True,Optimization terminated successfully,7.735452455060234,163.6401908219999,1.0,2.1059503936932176,1.0000000000002118e+22,-2118123520.0,9.668922867556567e+21,3.3107713244555117e+20,1e+22,8192,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,2.801689159434022e+22,9.719831084056597e+23,2.741014752992823e+22,6.067440644119884e+20,1e+24,8192,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3060192933329819,1.7050747182228712,0.9999999999999999,3.3733016977204198,1.0000000000004356e+19,-4356096.0,6.55028972113599e+18,3.4497102788683663e+18,1e+19,32768,logarithmic,0.3,inside_B1_B6_support,6,6,3,True,False,False,True
True,Optimization terminated successfully,5.970152014506608,129.92057591618217,1.0,2.149833320032561,1.0000000000001883e+22,-1883242496.0,9.737144453916678e+21,2.6285554608520616e+20,1e+22,32768,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,4.565492536307494e+22,9.54345074636925e+23,4.5048181298662946e+22,6.067440644119884e+20,1e+24,32768,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.16684603480163984,1.3517081426001374,1.0,3.5888076981639108,1.0000000000047698e+19,-47697920.0,7.26522162129265e+18,2.7347783787550484e+18,1e+19,131072,logarithmic,0.3,inside_B1_B6_support,6,6,3,True,False,False,True
True,Optimization terminated successfully,3.669607849926204,83.1687860082979,0.9999999999999999,2.2422597448688304,1.0000000000007663e+22,-7662993408.0,9.83173276050929e+21,1.6826723949837307e+20,1e+22,131072,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,2.0219298975598545,1.1620706043801379e+23,8.837929395619862e+23,1.156003163736018e+23,6.067440644119884e+20,1e+24,131072,logarithmic,0.3,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3119469037423129,4.206660024210861,0.6763329145501908,3.231322239123138,1.0000000000000954e+19,-954368.0,8.411026889623136e+18,1.5889731103778184e+18,1e+19,2048,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.802433461138584,165.96543482747248,0.9999999999999999,2.0939009181938832,1.0000000000011507e+22,-11507073024.0,9.363782697364066e+21,6.362173026474422e+20,1e+22,2048,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,2.0219298975598545,2.4150258680168664e+22,9.758497413198313e+23,2.3000639087744553e+22,1.1496195924241124e+21,1e+24,2048,exponential,0.5,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.3025860467630434,4.074033583600227,0.6801621623379777,3.2443016370349875,1.0000000000006121e+19,-6121472.0,8.406339589557655e+18,1.5936604104484667e+18,1e+19,4096,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.51276024694827,161.59357836415984,1.0,2.09901377954591,1.000000000000927e+22,-9269411840.0,9.380541914300835e+21,6.19458085708434e+20,1e+22,4096,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,2.0219298975598545,2.5620094827563225e+22,9.743799051724368e+23,2.4470475235139114e+22,1.1496195924241124e+21,1e+24,4096,exponential,0.5,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.28609130144728956,3.84364855068868,0.6871203085014844,3.2683607260928054,1.0000000000008229e+19,-8228864.0,8.399447524492121e+18,1.6005524755161068e+18,1e+19,8192,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,8.007901821217024,153.8438110732105,1.0,2.108501943087647,1.000000000003658e+22,-36580622336.0,9.410250124637833e+21,5.8974987539874716e+20,1e+22,8192,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,2.0219298975598545,2.8559767122352343e+22,9.714402328776477e+23,2.741014752992823e+22,1.1496195924241124e+21,1e+24,8192,exponential,0.5,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.22309290976430604,2.995982617500502,0.7169019957809948,3.378310580786358,1.000000000000305e+19,-3049472.0,8.390606297682504e+18,1.609393702320546e+18,1e+19,32768,exponential,0.5,inside_B1_B6_support,6,6,2,True,False,False,False
True,Optimization terminated successfully,6.139428469114219,123.60120241805727,1.0,2.1520051181744275,1.0000000000000126e+22,-125829120.0,9.526183125491628e+21,4.738168745084989e+20,1e+22,32768,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,2.0219298975598545,4.619780089108706e+22,9.538021991089129e+23,4.5048181298662946e+22,1.1496195924241124e+21,1e+24,32768,exponential,0.5,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.13784119974771117,1.900172787575629,0.7713285630312094,3.609342666889167,1.000000000000281e+19,-2809856.0,8.437663194103002e+18,1.5623368058998077e+18,1e+19,131072,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,False
True,Optimization terminated successfully,3.737551202779587,80.49170642741907,1.0,2.2438468217799103,1.0000000000000264e+22,-264241152.0,9.691440471312997e+21,3.0855952868726794e+20,1e+22,131072,exponential,0.5,inside_B1_B6_support,6,6,1,True,False,False,True
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,2.0219298975598545,1.1674993596602592e+23,8.832500640339741e+23,1.156003163736018e+23,1.1496195924241124e+21,1e+24,131072,exponential,0.5,inside_B1_B6_support,6,6,1,True,True,True,True
True,Optimization terminated successfully,0.25700465692830027,5.9428230445279056,0.5135971906593091,3.250154240483337,1.0000000000019773e+19,-19773440.0,9.789594864263092e+18,2.1040513575668112e+17,1e+19,2048,power,0.5,inside_B1_B6_support,6,6,2,True,False,False,False
