dataset,role,scale_label,total_scale_tokens,log10_scale,domain,records,proportion_mean,proportion_median,proportion_p05,proportion_p95,proportion_zero_fraction,expected_tokens_mean,expected_tokens_median,expected_tokens_min,expected_tokens_max
A4_A5_train_1m,fit,1M,1000000,6.0,train_the_pile_wikipedia_en,512,0.07507775607983627,0.0020030050090170002,0.0,0.4377026473526473,0.404296875,75077.75607983628,2003.005009017033,0.0,708708.7087087088
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_arxiv,256,0.10235899509990196,0.0119880239520958,0.0,0.5487725487725488,0.3046875,102358.99509990196,11988.02395209581,0.0,961000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_dm_mathematics,256,0.029723560158977008,0.001001001001001,0.0,0.1553838661338661,0.45703125,29723.56015897702,1001.001001001001,0.0,239239.2392392392
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_enron_emails,256,0.002355478803719623,0.0,0.0,0.014267295830422026,0.62890625,2355.478803719636,0.0,0.0,25000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_europarl,256,0.014097582222360908,0.0009990009990009,0.0,0.07453507453507446,0.484375,14097.582222360923,999.0009990009992,0.0,116883.11688311688
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_freelaw,256,0.07494430129873036,0.005994011976047851,0.0,0.42315224855305017,0.35546875,74944.30129873038,5994.011976047903,0.0,955955.955955956
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_github,256,0.124418680716792,0.0140065065065065,0.0,0.6135901598401599,0.2734375,124418.68071679202,14006.506506506506,0.0,988988.988988989
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_gutenberg_pg_19,256,0.05112078974668007,0.002001001001001,0.0,0.2408592184368737,0.40625,51120.789746680086,2001.001001001001,0.0,403807.61523046094
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_hackernews,256,0.011684310879494302,0.0,0.0,0.060349919273149526,0.54296875,11684.310879494313,0.0,0.0,116116.11611611611
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_nih_exporter,256,0.005890637678348844,0.0,0.0,0.035267285267285224,0.5859375,5890.637678348856,0.0,0.0,55055.055055055054
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_philpapers,256,0.005257981973163565,0.0,0.0,0.028035049077133202,0.59765625,5257.981973163578,0.0,0.0,55000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_pile_cc,256,0.10997681105779662,0.01,0.0,0.6386113886113886,0.328125,109976.81105779663,10000.0,0.0,956000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_pubmed_abstracts,256,0.06798664745401815,0.002001001001001,0.0,0.36875,0.4375,67986.64745401817,2001.001001001001,0.0,561561.5615615615
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_pubmed_central,256,0.12383995747234725,0.012012012012012,0.0,0.5997995997995998,0.29296875,123839.95747234726,12012.01201201201,0.0,901000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_stackexchange,256,0.10089759327171706,0.01001552654859265,0.0,0.5302565302565303,0.33984375,100897.59327171707,10015.52654859268,0.0,900000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_ubuntu_irc,256,0.02034986458576564,0.0009990009990009,0.0,0.12825,0.4921875,20349.864585765652,999.0009990009992,0.0,177000.0
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_uspto_backgrounds,256,0.0748600200011494,0.0050025025025025,0.0,0.3908908908908909,0.390625,74860.02000114942,5002.5025025025025,0.0,693612.7744510977
A6_A7_validation_1m,validation,1M,1000000,6.0,train_the_pile_wikipedia_en,256,0.080236787579037,0.002001001001001,0.0,0.5138656343656344,0.390625,80236.78757903702,2001.001001001001,0.0,762000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_arxiv,256,0.10235899509990196,0.0119880239520958,0.0,0.5487725487725488,0.3046875,6141539.705994118,719281.4371257485,0.0,57660000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_dm_mathematics,256,0.029723560158977008,0.001001001001001,0.0,0.1553838661338661,0.45703125,1783413.6095386213,60060.06006006006,0.0,14354354.354354352
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_enron_emails,256,0.002355478803719623,0.0,0.0,0.014267295830422026,0.62890625,141328.72822317816,0.0,0.0,1500000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_europarl,256,0.014097582222360908,0.0009990009990009,0.0,0.07453507453507446,0.484375,845854.9333416553,59940.05994005995,0.0,7012987.012987013
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_freelaw,256,0.07494430129873036,0.005994011976047851,0.0,0.42315224855305017,0.35546875,4496658.077923822,359640.71856287424,0.0,57357357.35735736
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_github,256,0.124418680716792,0.0140065065065065,0.0,0.6135901598401599,0.2734375,7465120.843007521,840390.3903903903,0.0,59339339.33933934
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_gutenberg_pg_19,256,0.05112078974668007,0.002001001001001,0.0,0.2408592184368737,0.40625,3067247.3848008052,120060.06006006006,0.0,24228456.913827658
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_hackernews,256,0.011684310879494302,0.0,0.0,0.060349919273149526,0.54296875,701058.6527696587,0.0,0.0,6966966.966966967
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_nih_exporter,256,0.005890637678348844,0.0,0.0,0.035267285267285224,0.5859375,353438.26070093137,0.0,0.0,3303303.303303303
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_philpapers,256,0.005257981973163565,0.0,0.0,0.028035049077133202,0.59765625,315478.9183898147,0.0,0.0,3300000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_pile_cc,256,0.10997681105779662,0.01,0.0,0.6386113886113886,0.328125,6598608.663467798,600000.0,0.0,57360000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_pubmed_abstracts,256,0.06798664745401815,0.002001001001001,0.0,0.36875,0.4375,4079198.84724109,120060.06006006006,0.0,33693693.69369369
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_pubmed_central,256,0.12383995747234725,0.012012012012012,0.0,0.5997995997995998,0.29296875,7430397.448340836,720720.7207207206,0.0,54060000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_stackexchange,256,0.10089759327171706,0.01001552654859265,0.0,0.5302565302565303,0.33984375,6053855.596303024,600931.5929155608,0.0,54000000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_ubuntu_irc,256,0.02034986458576564,0.0009990009990009,0.0,0.12825,0.4921875,1220991.8751459392,59940.05994005995,0.0,10620000.0
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_uspto_backgrounds,256,0.0748600200011494,0.0050025025025025,0.0,0.3908908908908909,0.390625,4491601.200068965,300150.1501501502,0.0,41616766.46706586
A8_A9_validation_60m,validation,60M,60000000,7.778151250383644,train_the_pile_wikipedia_en,256,0.080236787579037,0.002001001001001,0.0,0.5138656343656344,0.390625,4814207.254742221,120060.06006006006,0.0,45720000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_arxiv,64,0.1437073854911521,0.1069465534465534,0.027567791489947115,0.40299429429429356,0.015625,143707385.4911521,106946553.44655344,0.0,501000000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_dm_mathematics,64,0.019020098728922612,0.001001001001001,0.0,0.09287765531062123,0.40625,19020098.728922628,1001001.001001001,0.0,173826173.8261738
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_enron_emails,64,0.00015624999999999998,0.0,0.0,0.0,0.96875,156250.0,0.0,0.0,9000000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_europarl,64,0.006993252393709549,0.0,0.0,0.035416929956007974,0.65625,6993252.393709558,0.0,0.0,117234468.93787576
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_freelaw,64,0.07072946473641217,0.05197402597402595,0.006148951048951036,0.21176312625250499,0.0,70729464.7364122,51974025.97402598,2002002.002002002,275999999.99999994
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_github,64,0.09786229539025099,0.07000307000306995,0.011989810189810114,0.23764790209790213,0.0,97862295.390251,70003070.00307,6006006.006006005,482000000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_gutenberg_pg_19,64,0.02900863090470635,0.002,0.0,0.2056499999999996,0.34375,29008630.904706363,2000000.0,0.0,264735264.7352648
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_hackernews,64,0.002890597937296678,0.0,0.0,0.017849999999999994,0.71875,2890597.937296686,0.0,0.0,33999999.99999999
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_nih_exporter,64,0.006360799144585466,0.0,0.0,0.02544759188045756,0.828125,6360799.144585467,0.0,0.0,253000000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_philpapers,64,0.004235645678030446,0.0,0.0,0.03096192384769526,0.828125,4235645.678030448,0.0,0.0,68931068.93106894
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_pile_cc,64,0.22779468568414216,0.2132867132867132,0.031905555555555555,0.43394999999999995,0.0,227794685.68414217,213286713.28671327,6000000.0,618618618.6186186
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_pubmed_abstracts,64,0.030860265592987372,0.01051002004008015,0.0,0.12734999999999982,0.15625,30860265.5929874,10510020.04008016,0.0,350299401.1976048
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_pubmed_central,64,0.17356242106391262,0.16008158158158148,0.051327525129920296,0.36589860139860125,0.0,173562421.06391263,160081581.58158156,39000000.0,501501501.5015015
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_stackexchange,64,0.07139829145460522,0.05605410821643285,0.00100015015015015,0.19904408817635252,0.015625,71398291.45460524,56054108.21643287,0.0,408000000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_ubuntu_irc,64,0.01740830715289043,0.0,0.0,0.11624999999999985,0.53125,17408307.152890444,0.0,0.0,295704295.7042957
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_uspto_backgrounds,64,0.04517106958946924,0.0245,0.0,0.1501499999999999,0.078125,45171069.58946926,24500000.0,0.0,307000000.0
A10_A11_validation_1b,validation,1B,1000000000,9.0,train_the_pile_wikipedia_en,64,0.05284053905692634,0.027,0.0,0.17,0.078125,52840539.056926355,27000000.0,0.0,287000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_arxiv,63,0.12384401914371804,0.0079920079920079,0.0,0.6688577577577577,0.3492063492063492,1238440191.4371805,79920079.92007992,0.0,9030969030.96903
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_dm_mathematics,63,0.016192868612059222,0.0,0.0,0.0814390018798836,0.5079365079365079,161928686.12059242,0.0,0.0,2220000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_enron_emails,63,0.0010636193653020887,0.0,0.0,0.005605605605605594,0.7619047619047619,10636193.653020957,0.0,0.0,190000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_europarl,63,0.01308024916371843,0.001,0.0,0.07140660660660658,0.49206349206349204,130802491.63718449,10000000.0,0.0,1138861138.8611388
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_freelaw,63,0.13138585333162128,0.0089820359281437,0.0,0.6374966148513241,0.3333333333333333,1313858533.316213,89820359.2814371,0.0,9449449449.449448
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_github,63,0.08022281786655282,0.0069930069930069,0.0,0.3840624375624375,0.3968253968253968,802228178.6655282,69930069.93006994,0.0,7830000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_gutenberg_pg_19,63,0.06312842175794883,0.009009009009009,0.0,0.29850149850149843,0.3333333333333333,631284217.5794885,90090090.09009008,0.0,4000000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_hackernews,63,0.01436579613906531,0.0,0.0,0.10612093317504127,0.6031746031746031,143657961.39065325,0.0,0.0,1188811188.8111887
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_nih_exporter,63,0.008591664777440744,0.0,0.0,0.039976048192480976,0.5396825396825397,85916647.77440758,0.0,0.0,501002004.0080161
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_philpapers,63,0.00401754398675718,0.0,0.0,0.018717117117117096,0.5714285714285714,40175439.867571965,0.0,0.0,550550550.5505506
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_pile_cc,63,0.11623967017857582,0.0059999999999999,0.0,0.7173648648648647,0.31746031746031744,1162396701.7857583,59999999.99999999,0.0,8591408591.408592
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_pubmed_abstracts,63,0.052744219422038115,0.003,0.0,0.250942885771543,0.4126984126984127,527442194.2203813,30000000.0,0.0,5460000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_pubmed_central,63,0.12127315895497043,0.007,0.0,0.513663063063063,0.3333333333333333,1212731589.5497043,70000000.0,0.0,8280000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_stackexchange,63,0.09238801141743742,0.0130260521042084,0.0,0.4131250749250749,0.36507936507936506,923880114.1743745,130260521.04208411,0.0,5525525525.525526
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_ubuntu_irc,63,0.012874233586722518,0.0,0.0,0.06385146385146379,0.6031746031746031,128742335.86722532,0.0,0.0,1480000000.0
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_uspto_backgrounds,63,0.08092171369132552,0.008,0.0,0.368188468188468,0.4126984126984127,809217136.9132552,80000000.0,0.0,6723276723.276723
A12_A13_extrapolation_10b,extrapolation,10B,10000000000,10.0,train_the_pile_wikipedia_en,63,0.06766613860474596,0.003,0.0,0.34566853707414824,0.3968253968253968,676661386.0474597,30000000.0,0.0,5900000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_arxiv,63,0.12384401914371804,0.0079920079920079,0.0,0.6688577577577577,0.3492063492063492,8669081340.060263,559440559.4405594,0.0,63216783216.78321
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_dm_mathematics,63,0.016192868612059222,0.0,0.0,0.0814390018798836,0.5079365079365079,1133500802.844147,0.0,0.0,15540000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_enron_emails,63,0.0010636193653020887,0.0,0.0,0.005605605605605594,0.7619047619047619,74453355.57114671,0.0,0.0,1330000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_europarl,63,0.01308024916371843,0.001,0.0,0.07140660660660658,0.49206349206349204,915617441.4602915,70000000.0,0.0,7972027972.027971
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_freelaw,63,0.13138585333162128,0.0089820359281437,0.0,0.6374966148513241,0.3333333333333333,9197009733.213491,628742514.9700598,0.0,66146146146.14614
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_github,63,0.08022281786655282,0.0069930069930069,0.0,0.3840624375624375,0.3968253968253968,5615597250.658697,489510489.5104896,0.0,54810000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_gutenberg_pg_19,63,0.06312842175794883,0.009009009009009,0.0,0.29850149850149843,0.3333333333333333,4418989523.056419,630630630.6306305,0.0,28000000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_hackernews,63,0.01436579613906531,0.0,0.0,0.10612093317504127,0.6031746031746031,1005605729.7345728,0.0,0.0,8321678321.678321
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_nih_exporter,63,0.008591664777440744,0.0,0.0,0.039976048192480976,0.5396825396825397,601416534.4208531,0.0,0.0,3507014028.0561123
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_philpapers,63,0.00401754398675718,0.0,0.0,0.018717117117117096,0.5714285714285714,281228079.0730038,0.0,0.0,3853853853.853854
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_pile_cc,63,0.11623967017857582,0.0059999999999999,0.0,0.7173648648648647,0.31746031746031744,8136776912.500309,419999999.9999999,0.0,60139860139.86015
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_pubmed_abstracts,63,0.052744219422038115,0.003,0.0,0.250942885771543,0.4126984126984127,3692095359.5426693,210000000.0,0.0,38220000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_pubmed_central,63,0.12127315895497043,0.007,0.0,0.513663063063063,0.3333333333333333,8489121126.84793,490000000.0,0.0,57960000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_stackexchange,63,0.09238801141743742,0.0130260521042084,0.0,0.4131250749250749,0.36507936507936506,6467160799.220621,911823647.2945888,0.0,38678678678.67869
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_ubuntu_irc,63,0.012874233586722518,0.0,0.0,0.06385146385146379,0.6031746031746031,901196351.0705773,0.0,0.0,10360000000.0
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_uspto_backgrounds,63,0.08092171369132552,0.008,0.0,0.368188468188468,0.4126984126984127,5664519958.392787,560000000.0,0.0,47062937062.937065
A14_A15_extrapolation_70b,extrapolation,70B,70000000000,10.845098040014255,train_the_pile_wikipedia_en,63,0.06766613860474596,0.003,0.0,0.34566853707414824,0.3968253968253968,4736629702.332218,210000000.0,0.0,41300000000.0
