success,message,N_B,D_B,Q,loss,total_cost_flops,budget_slack_flops,base_train_attn_cost_flops,quality_cost_flops,budget_flops,Lctx,cost_family,Q0,support_status,n_starts,successful_starts,unique_objectives,selected_from_successful_start,N_at_bound,D_at_bound,Q_at_bound,fold
True,Optimization terminated successfully,0.2137424326288421,1.2639566179678825,0.7747529768890233,3.6911441230466986,1.0000000000014156e+19,-14155776.0,8.703079745565861e+18,1.296920254448296e+18,1e+19,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,4.301490803812702,70.133106697603,0.9999999999999996,2.2100976105334205,1.0000000000003364e+22,-3363831808.0,9.718340762336687e+21,2.8165923766667664e+20,1e+22,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,1.1680470667853692e+23,8.831952933214631e+23,1.156003163736018e+23,1.2043903049351123e+21,1e+24,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.44988709881044037,2.980633840771866,0.5542666972093431,3.2808238725575287,1.000000000000748e+19,-7479296.0,8.594944859570794e+18,1.4050551404366843e+18,1e+19,2048,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,9.447045801006789,152.55231130376885,1.0,2.058484333156631,1.000000000000514e+22,-5140119552.0,9.237314719641947e+21,7.626852803631924e+20,1e+22,2048,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.4499954141244552e+22,9.755000458587555e+23,2.3000639087744553e+22,1.4993150534999993e+21,1e+24,2048,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.43732049399341183,2.8829119171757314,0.5586611458328476,3.295651272284556,1.000000000000625e+19,-6250496.0,8.597350477663906e+18,1.4026495223423455e+18,1e+19,4096,power,0.1,inside_B1_B6_support,6,5,2,True,False,False,False,fold_1
True,Optimization terminated successfully,9.162028191225907,148.19820040725037,0.9999999999999998,2.06359056496915,1.0000000000001623e+22,-1623195648.0,9.259083097065575e+21,7.409169029360475e+20,1e+22,4096,power,0.1,inside_B1_B6_support,6,5,2,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.5969790288639113e+22,9.740302097113609e+23,2.4470475235139114e+22,1.4993150534999993e+21,1e+24,4096,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.4152094714356094,2.7121715314101933,0.566799799253067,3.323190470527293,1.000000000000467e+19,-4669440.0,8.601749722223639e+18,1.3982502777810314e+18,1e+19,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,8.663695206983013,140.49626476080164,1.0,2.073085069347307,1.000000000000546e+22,-5460983808.0,9.297588924333833e+21,7.024110756716278e+20,1e+22,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.890946258342823e+22,9.710905374165717e+23,2.741014752992823e+22,1.4993150534999993e+21,1e+24,8192,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.33082437003882503,2.0758075007883843,0.6038665313321647,3.4498672777665855,1.000000000000823e+19,-8230912.0,8.620904964817394e+18,1.379095035190837e+18,1e+19,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,6.798787395361156,110.68220839606201,1.0,2.1169122399586464,1.0000000000008349e+22,-8348762112.0,9.446644299132236e+21,5.5335570087611204e+20,1e+22,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,4.654749635216294e+22,9.53452503647837e+23,4.5048181298662946e+22,1.4993150534999993e+21,1e+24,32768,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.215015257631741,1.249778644489116,0.6809933640497935,3.7196973487321907,1.0000000000004792e+19,-4792320.0,8.656701155996781e+18,1.3432988440080113e+18,1e+19,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_1
True,Optimization terminated successfully,4.33324179731248,69.1599834026953,1.0,2.2108603149246018,1.0000000000005329e+22,-5328863232.0,9.654234662983554e+21,3.4576533702177515e+20,1e+22,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,1.170996314271018e+23,8.829003685728982e+23,1.156003163736018e+23,1.4993150534999993e+21,1e+24,131072,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.7084738908691623,1.257777714489262,0.9999999999999999,3.327022745412924,1.0000000000004456e+19,-4456448.0,5.711611681533306e+18,4.288388318471151e+18,1e+19,2048,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_1
True,Optimization terminated successfully,9.20696759308938,160.1987087640012,1.0,2.0562940007168016,1.0000000000048918e+22,-48918167552.0,9.453803113759937e+21,5.461968862889803e+20,1e+22,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.402312312699587e+22,9.75976876873004e+23,2.3000639087744553e+22,1.0224840392513159e+21,1e+24,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.681430063715681,1.2412639725304313,1.0,3.339693149321609,1.000000000000642e+19,-6420480.0,5.767915221735336e+18,4.232084778271084e+18,1e+19,4096,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_1
True,Optimization terminated successfully,8.935458822443875,155.41904965549955,1.0,2.0614458466039043,1.0000000000005629e+22,-5628755968.0,9.470099343210185e+21,5.299006567954439e+20,1e+22,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.549295927439043e+22,9.745070407256095e+23,2.4470475235139114e+22,1.0224840392513159e+21,1e+24,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.6347123257007636,1.2109934743598185,0.9999999999999999,3.363349326033399,1.0000000000008909e+19,-8908800.0,5.871122369752744e+18,4.1288776302561654e+18,1e+19,8192,logarithmic,0.1,inside_B1_B6_support,6,6,3,True,False,False,True,fold_1
True,Optimization terminated successfully,8.459978386893576,146.99355170236905,1.0,2.071021884038109,1.0000000000008074e+22,-8074035200.0,9.498826046336146e+21,5.01173953671928e+20,1e+22,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,2.8432631569179547e+22,9.715673684308204e+23,2.741014752992823e+22,1.0224840392513159e+21,1e+24,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.46691974513480095,1.0786299793453988,1.0,3.4741102096810845,1.0000000000013066e+19,-13066240.0,6.322415200972583e+18,3.6775847990404823e+18,1e+19,32768,logarithmic,0.1,inside_B1_B6_support,6,6,3,True,False,False,True,fold_1
True,Optimization terminated successfully,6.67140038249954,114.7320705209906,0.9999999999999998,2.115176402096945,1.0000000000005113e+22,-5112856576.0,9.608821443326667e+21,3.911785566784463e+20,1e+22,32768,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,4.607066533791426e+22,9.539293346620857e+23,4.5048181298662946e+22,1.0224840392513159e+21,1e+24,32768,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.2658239992652404,0.8352225492210634,1.0,3.71922126544292,1.0000000000010473e+19,-10473472.0,7.15231190525223e+18,2.8476880947582444e+18,1e+19,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,4.28169122344921,70.75057376756016,0.9999999999999983,2.209623362787859,1.0000000000001682e+22,-1681915904.0,9.758776188691638e+21,2.4122381131004405e+20,1e+22,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_1
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,1.0,1.985393742544411,1.1662280041285311e+23,8.833771995871468e+23,1.156003163736018e+23,1.0224840392513159e+21,1e+24,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_1
True,Optimization terminated successfully,0.6446928857184719,2.033406254687965,0.7311387790433576,3.300279656592809,1.00000000000022e+19,-2199552.0,8.402489151949015e+18,1.5975108480531843e+18,1e+19,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,10.452850815102689,140.8159962203675,1.0,2.0606256715146616,1.0000000000001904e+22,-1904214016.0,9.434473560146389e+21,5.655264398555156e+20,1e+22,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.4205029392679665e+22,9.757949706073203e+23,2.3000639087744553e+22,1.2043903049351105e+21,1e+24,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.6268998687955494,1.9685108889121632,0.7351119981336754,3.315414694799042,1.0000000000006294e+19,-6293504.0,8.415296619260436e+18,1.5847033807458578e+18,1e+19,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,10.160250225707193,136.42407516944652,1.0,2.066153735842192,1.0000000000005413e+22,-5412749312.0,9.452111808237614e+21,5.478881917677987e+20,1e+22,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.5674865540074226e+22,9.743251344599258e+23,2.4470475235139114e+22,1.2043903049351105e+21,1e+24,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.5955968633799328,1.8548712445772568,0.7423958457801082,3.3435329243418894,1.0000000000000942e+19,-942080.0,8.438564374870597e+18,1.5614356251303462e+18,1e+19,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,9.647057587932318,128.69325275945982,1.0,2.076425821140628,1.000000000000093e+22,-929038336.0,9.483159307040248e+21,5.1684069296068054e+20,1e+22,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.8614537834863343e+22,9.713854621651366e+23,2.741014752992823e+22,1.2043903049351105e+21,1e+24,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.47615762969013903,1.428281241394781,0.7744095012484536,3.4729862897871175,1.000000000000755e+19,-7550976.0,8.537540294177082e+18,1.4624597058304689e+18,1e+19,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,7.7058619333074505,99.25324329896937,1.0,2.123733710631554,1.0000000000028882e+22,-28881977344.0,9.601392350091589e+21,3.986076499372932e+20,1e+22,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,4.625257160359805e+22,9.537474283964019e+23,4.5048181298662946e+22,1.2043903049351105e+21,1e+24,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.3121296916642869,0.8664266494974854,0.8356392909071192,3.7491793576004815,1.0000000000001909e+19,-1908736.0,8.711981250981941e+18,1.288018749019967e+18,1e+19,131072,exponential,0.1,inside_B1_B6_support,6,6,2,True,False,False,False,fold_2
True,Optimization terminated successfully,5.074024716491428,59.71121438794883,0.9999999999999997,2.2246096568725333,1.000000000000881e+22,-8810135552.0,9.760195777486953e+21,2.398042225218577e+20,1e+22,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,1.1680470667853692e+23,8.831952933214631e+23,1.156003163736018e+23,1.2043903049351105e+21,1e+24,131072,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.6382860940763921,2.071378516356405,0.6196278071732885,3.3290123017438162,1.0000000000009193e+19,-9193472.0,8.474337924561411e+18,1.525662075447783e+18,1e+19,2048,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,10.61003060785273,136.97588335182405,1.0,2.061915633464336,1.0000000000003806e+22,-3806330880.0,9.315189071186362e+21,6.848109288174444e+20,1e+22,2048,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.4499954141244552e+22,9.755000458587555e+23,2.3000639087744553e+22,1.4993150534999975e+21,1e+24,2048,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.6216895486105547,1.999182723987474,0.6250366973970358,3.3441975723688895,1.0000000000007133e+19,-7133184.0,8.475385959108489e+18,1.5246140408986437e+18,1e+19,4096,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,10.308609238442143,132.80923600356004,1.0,2.0674143756183896,1.0000000000004207e+22,-4206886912.0,9.336020224604408e+21,6.639797753997984e+20,1e+22,4096,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.5969790288639113e+22,9.740302097113609e+23,2.4470475235139114e+22,1.4993150534999975e+21,1e+24,4096,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.592405476460031,1.8734256300812648,0.6350650774212394,3.372385543199456,1.0000000000014965e+19,-14964736.0,8.477307162760743e+18,1.522692837254221e+18,1e+19,8192,power,0.1,inside_B1_B6_support,6,5,3,True,False,False,False,fold_2
True,Optimization terminated successfully,9.780472313035116,125.4600310143115,0.9999999999999994,2.077634183638856,1.000000000000241e+22,-2409627648.0,9.372762574946361e+21,6.272374250560489e+20,1e+22,8192,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.890946258342823e+22,9.710905374165717e+23,2.741014752992823e+22,1.4993150534999975e+21,1e+24,8192,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.47956932225934645,1.4095149541013674,0.6809123381781581,3.501790530063504,1.0000000000006052e+19,-6051840.0,8.485733103695232e+18,1.5142668963108193e+18,1e+19,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,7.789349664792372,97.29152085604147,0.9999999999999999,2.1247340920220408,1.0000000000008791e+22,-8791261184.0,9.513591041489013e+21,4.864089585197791e+20,1e+22,32768,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,4.654749635216294e+22,9.53452503647837e+23,4.5048181298662946e+22,1.4993150534999975e+21,1e+24,32768,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.32120357774308017,0.8216308360967964,0.7771696397662573,3.776152028315011,1.0000000000000225e+19,-225280.0,8.501726920257796e+18,1.4982730797424292e+18,1e+19,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_2
True,Optimization terminated successfully,5.10781430991823,58.98150502195248,0.999999999999999,2.2253002065872765,1.0000000000009502e+22,-9502195712.0,9.705121965652251e+21,2.9487803435725023e+20,1e+22,131072,power,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,1.170996314271018e+23,8.829003685728982e+23,1.156003163736018e+23,1.4993150534999975e+21,1e+24,131072,power,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.9043616351707706,1.0862371822687236,1.0,3.343889984097194,1.0000000000006693e+19,-6692864.0,6.296478471624595e+18,3.7035215283820984e+18,1e+19,2048,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_2
True,Optimization terminated successfully,10.353821177142448,143.32119970019858,1.0,2.0598166617409164,1.0000000000001348e+22,-1348468736.0,9.511346916468877e+21,4.886530835324718e+20,1e+22,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.402312312699587e+22,9.75976876873004e+23,2.3000639087744553e+22,1.0224840392513155e+21,1e+24,2048,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.8715404602074537,1.0692094016482252,1.0,3.3573036084309074,1.0000000000002925e+19,-2924544.0,6.354534624676523e+18,3.6454653753264005e+18,1e+19,4096,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_2
True,Optimization terminated successfully,10.066835460508115,138.77852034256068,1.0,2.065363499915199,1.0000000000007426e+22,-7426015232.0,9.526835164412123e+21,4.7316483559530365e+20,1e+22,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.549295927439043e+22,9.745070407256095e+23,2.4470475235139114e+22,1.0224840392513155e+21,1e+24,4096,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.8147420279237589,1.038117419924421,1.0,3.3823376774015728,1.0000000000006207e+19,-6207488.0,6.460542617734942e+18,3.5394573822712663e+18,1e+19,8192,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_2
True,Optimization terminated successfully,9.563129438552673,130.79331993133076,0.9999999999999998,2.0756690069557395,1.0000000000002101e+22,-2101346304.0,9.55406067474117e+21,4.459393252609321e+20,1e+22,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,2.8432631569179547e+22,9.715673684308204e+23,2.741014752992823e+22,1.0224840392513155e+21,1e+24,8192,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.6094670665190111,0.9041180992098145,1.0,3.4993711673721837,1.0000000000000369e+19,-368640.0,6.917412790428043e+18,3.0825872095723254e+18,1e+19,32768,logarithmic,0.1,inside_B1_B6_support,6,6,2,True,False,False,True,fold_2
True,Optimization terminated successfully,7.653559982884929,100.51339550108221,0.9999999999999999,2.12310924470689,9.999999999999996e+21,4194304.0,9.657299961550243e+21,3.427000384497524e+20,1e+22,32768,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,4.607066533791426e+22,9.539293346620857e+23,4.5048181298662946e+22,1.0224840392513155e+21,1e+24,32768,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.3594024330745332,0.6672258052493089,1.0,3.7572127544713063,1.0000000000000836e+19,-835584.0,7.725096162818822e+18,2.274903837182013e+18,1e+19,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,5.0529767030379,60.172776903169904,0.9999999999999983,2.224180589473056,1.0000000000006388e+22,-6387924992.0,9.794841146745653e+21,2.0515885326073437e+20,1e+22,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_2
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999997,1.9844448445564633,1.1662280041285311e+23,8.833771995871468e+23,1.156003163736018e+23,1.0224840392513155e+21,1e+24,131072,logarithmic,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_2
True,Optimization terminated successfully,0.579693771036161,2.26499001027563,0.7122320032117025,3.2813399795433114,1.000000000000082e+19,-819200.0,8.415808648425838e+18,1.5841913515749821e+18,1e+19,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_3
True,Optimization terminated successfully,10.01998315997695,146.5412939660777,1.0,2.0490339488978844,1.0000000000007512e+22,-7511998464.0,9.411480382259214e+21,5.8851961774829804e+20,1e+22,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_3
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,1.9746471455146226,2.4205029392679665e+22,9.757949706073203e+23,2.3000639087744553e+22,1.2043903049351113e+21,1e+24,2048,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_3
True,Optimization terminated successfully,0.5634459440668047,2.193716397945578,0.7160883336734469,3.2965454970974006,1.0000000000007066e+19,-7065600.0,8.428808106267503e+18,1.5711918937395633e+18,1e+19,4096,exponential,0.1,inside_B1_B6_support,6,5,3,True,False,False,False,fold_3
True,Optimization terminated successfully,9.735024697979712,142.0431399537565,1.0,2.0544066374250707,1.0000000000002116e+22,-2116026368.0,9.429545269005242e+21,5.704547309968746e+20,1e+22,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_3
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,1.9746471455146226,2.5674865540074226e+22,9.743251344599258e+23,2.4470475235139114e+22,1.2043903049351113e+21,1e+24,4096,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_3
True,Optimization terminated successfully,0.5348789193679251,2.06882230053639,0.7231582441602645,3.3248050620488687,1.0000000000008591e+19,-8591360.0,8.45241998357193e+18,1.5475800164366607e+18,1e+19,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_3
True,Optimization terminated successfully,9.235499635168775,134.1192593898472,1.0,2.0643937999857256,1.0000000000056971e+22,-56971231232.0,9.461368102299405e+21,5.3863189775756545e+20,1e+22,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_3
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,1.9746471455146226,2.8614537834863343e+22,9.713854621651366e+23,2.741014752992823e+22,1.2043903049351113e+21,1e+24,8192,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_3
True,Optimization terminated successfully,0.4261029177184408,1.598915719907701,0.7542343126905439,3.455077310356711,1.0000000000001e+19,-999424.0,8.552800990206215e+18,1.4471990097947837e+18,1e+19,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,False,fold_3
True,Optimization terminated successfully,7.349403008948519,103.86639286323559,1.0,2.110451173720847,1.0000000000012824e+22,-12824084480.0,9.582865633511897e+21,4.171343665009272e+20,1e+22,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,False,False,True,fold_3
True,Optimization terminated successfully,11.965825000000002,299.89299999999986,0.9999999999999999,1.9746471455146226,4.625257160359805e+22,9.537474283964019e+23,4.5048181298662946e+22,1.2043903049351113e+21,1e+24,32768,exponential,0.1,inside_B1_B6_support,6,6,1,True,True,True,True,fold_3
