N_params_B,D_tokens_B,scale_loss,dL_dlogN,dL_dlogD,loss_elasticity_N,loss_elasticity_D,N_in_B1_range,D_in_B1_range,joint_B1_range,N_extrapolation_factor,D_extrapolation_factor,observed_joint_row
10.0,36000.0,1.9174206624829608,-0.055011253329448194,-0.018419941350143403,-0.02869023704908419,-0.009606625040897666,True,False,False,0.8357133753836447,120.04281527077993,False
100.0,0.1,4.126452968545447,-0.025146350102300836,-0.6612653836932658,-0.00609393837612665,-0.16025031394611008,False,False,False,8.357133753836447,1.34,False
100.0,1.0,3.0040680941764153,-0.025146350102300836,-0.3471344055473152,-0.008370765679728998,-0.11555477261659221,False,True,False,8.357133753836447,0.134,False
100.0,10.0,2.414866820728054,-0.025146350102300836,-0.18222985579808304,-0.010413141580503188,-0.07546165868606489,False,True,False,8.357133753836447,0.03334522646410554,False
100.0,100.0,2.105562812307295,-0.025146350102300836,-0.09566242876972288,-0.011942816407716298,-0.04543318689452684,False,True,False,8.357133753836447,0.3334522646410553,False
100.0,1000.0,1.943192203253387,-0.025146350102300836,-0.05021844657695532,-0.012940742588509562,-0.025843272988064252,False,False,False,8.357133753836447,3.3345226464105533,False
100.0,10000.0,1.8579549804344937,-0.025146350102300836,-0.02636241217200512,-0.013534423797728519,-0.014188940232470065,False,False,False,8.357133753836447,33.34522646410554,False
100.0,36000.0,1.8295766614027644,-0.025146350102300836,-0.018419941350143403,-0.013744354436080719,-0.010067870747772083,False,False,False,8.357133753836447,120.04281527077993,False
1000.0,0.1,4.086298347956808,-0.011494719447320546,-0.6612653836932658,-0.0028129907482325727,-0.16182503757316338,False,False,False,83.57133753836446,1.34,False
1000.0,1.0,2.963913473587776,-0.011494719447320546,-0.3471344055473152,-0.0038782236896431218,-0.11712028999521157,False,True,False,83.57133753836446,0.134,False
1000.0,10.0,2.3747122001394145,-0.011494719447320546,-0.18222985579808304,-0.00484046843514162,-0.07673765932031035,False,True,False,83.57133753836446,0.03334522646410554,False
1000.0,100.0,2.0654081917186558,-0.011494719447320546,-0.09566242876972288,-0.005565349984283555,-0.04631647591661811,False,True,False,83.57133753836446,0.3334522646410553,False
1000.0,1000.0,1.9030375826647477,-0.011494719447320546,-0.05021844657695532,-0.0060401957123857476,-0.02638857321285081,False,False,False,83.57133753836446,3.3345226464105533,False
1000.0,10000.0,1.8178003598458543,-0.011494719447320546,-0.02636241217200512,-0.006323422363221049,-0.014502369321920807,False,False,False,83.57133753836446,33.34522646410554,False
1000.0,36000.0,1.789422040814125,-0.011494719447320546,-0.018419941350143403,-0.006423705076355741,-0.010293793711048159,False,False,False,83.57133753836446,120.04281527077993,False
10000.0,0.1,4.067943155401934,-0.0052543838225063,-0.6612653836932658,-0.0012916561568784113,-0.16255521732528472,False,False,False,835.7133753836446,1.34,False
10000.0,1.0,2.945558281032902,-0.0052543838225063,-0.3471344055473152,-0.001783832917630737,-0.11785012294022155,False,True,False,835.7133753836446,0.134,False
10000.0,10.0,2.3563570075845406,-0.0052543838225063,-0.18222985579808304,-0.0022298759507127803,-0.07733541870418167,False,True,False,835.7133753836446,0.03334522646410554,False
10000.0,100.0,2.047052999163782,-0.0052543838225063,-0.09566242876972288,-0.0025668039980658577,-0.046731779201027446,False,True,False,835.7133753836446,0.3334522646410553,False
10000.0,1000.0,1.8846823901098737,-0.0052543838225063,-0.05021844657695532,-0.002787941273330398,-0.026645575318410903,False,False,False,835.7133753836446,3.3345226464105533,False
10000.0,10000.0,1.7994451672909804,-0.0052543838225063,-0.02636241217200512,-0.0029200021862386856,-0.014650300354354821,False,False,False,835.7133753836446,33.34522646410554,False
10000.0,36000.0,1.771066848259251,-0.0052543838225063,-0.018419941350143403,-0.002966790230233679,-0.010400477750598755,False,False,False,835.7133753836446,120.04281527077993,False
