dataset_id,subset,indicator,n_records,zero_rate,one_rate,normalized_mean
A1,fit,ad_en_no_ad_margin,40919,0.010019795205161417,0.010019795205161417,0.70033080444079809
A1,fit,rps_doc_frac_unique_words,40919,0.010019795205161417,0.01019086487939588,0.47243691581703762
A1,fit,rps_doc_frac_no_alph_words,40919,0.010019795205161417,0.010019795205161417,0.85976150504424431
A1,fit,rps_doc_frac_chars_top_2gram,40919,0.010068672254942691,0.082553337080573816,0.83302196291834429
A1,fit,rps_doc_frac_chars_top_3gram,40919,0.010019795205161417,0.2272294044331484,0.86021392581620937
A1,fit,rps_lines_ending_with_terminal_punctution_mark,40919,0.010019795205161417,0.20853393289181066,0.54286051744388431
A1,holdout,fineweb_edu,10311,0.01047425080011638,0.010280283192706819,0.395590304150848
A1,holdout,fluency_en_fluent_margin,10311,0.011056153622345069,0.0098923479778876919,0.55278825960153644
A1,holdout,modernbert_cleanliness_expected,10311,0.0098923479778876919,0.01115313742604985,0.66031827774238672
A1,holdout,modernbert_readability_expected,10311,0.0090194937445446603,0.010668218407525944,0.69163941944315244
A1,holdout,dsir_books,10311,0.010086315585297255,0.010765202211230724,0.93342846641559341
A1,holdout,dsir_wiki,10311,0.0096013965667733486,0.01115313742604985,0.93630052021478405
A1,holdout,dsir_math,10311,0.009795364174182912,0.010959169818640287,0.92244678490599608
A1,holdout,qurater_writing_style,10311,0.011735040248278537,0.0091164775482494419,0.39080765640241194
A1,holdout,qurater_facts_trivia,10311,0.011541072640868975,0.0090194937445446603,0.42090661814985653
A1,holdout,qurater_educational_value,10311,0.0082436233149064102,0.01115313742604985,0.4526702162828512
A1,holdout,ad_en_no_ad_margin,10311,0.010183299389002037,0.012898845892735914,0.70224922973630821
A1,holdout,rps_doc_frac_unique_words,10311,0.01047425080011638,0.010765202211230724,0.47483009328437553
A1,holdout,rps_doc_frac_no_alph_words,10311,0.011056153622345069,0.0099893317815924736,0.86017944568265992
A1,holdout,rps_doc_frac_chars_top_2gram,10311,0.010862186014935505,0.084860828241683645,0.83192949713619968
A1,holdout,rps_doc_frac_chars_top_3gram,10311,0.010959169818640287,0.21995926680244399,0.85818550750808675
A1,holdout,rps_lines_ending_with_terminal_punctution_mark,10311,0.0098923479778876919,0.21268548152458538,0.54906596318965295
A2,full,fineweb_edu,17523,5.706785367802317e-05,0.042001940307025053,0.6567175814390267
A2,full,fluency_en_fluent_margin,17523,5.706785367802317e-05,5.706785367802317e-05,0.7842917755640656
A2,full,modernbert_cleanliness_expected,17523,0,0.0073617531244649891,0.99052795673853433
A2,full,modernbert_readability_expected,17523,0,0.0039947497574616218,0.92934462871861145
A2,full,dsir_books,17523,0.27911887233921134,0,0.3615758498006984
A2,full,dsir_wiki,17523,0.24795982423101068,0,0.39310104944421859
A2,full,dsir_math,17523,0.19140558123608972,0,0.42391726791479373
A2,full,qurater_writing_style,17523,0,0.0064486674656166181,0.73599659191706401
A2,full,qurater_facts_trivia,17523,0.0028533926839011585,0.01061462078411231,0.66169346429836451
A2,full,qurater_educational_value,17523,0,0.049706100553558182,0.80094331627577076
A2,full,ad_en_no_ad_margin,17523,0,0.0020544427324088342,0.83029481593632026
A2,full,rps_doc_frac_unique_words,17523,0.12914455287336643,0.00028533926839011586,0.095811023243631596
A2,full,rps_doc_frac_no_alph_words,17523,0,0.0001712035610340695,0.83386354202251389
A2,full,rps_doc_frac_chars_top_2gram,17523,5.706785367802317e-05,0.0015978999029846487,0.94470344862292455
A2,full,rps_doc_frac_chars_top_3gram,17523,5.706785367802317e-05,0.0035382069280374363,0.95537963688219418
A2,full,rps_lines_ending_with_terminal_punctution_mark,17523,5.706785367802317e-05,5.706785367802317e-05,0.34707535538584811
A2,overlap_A1,fineweb_edu,1419,0,0.048625792811839326,0.66524492366254018
A2,overlap_A1,fluency_en_fluent_margin,1419,0,0,0.78801259715883865
A2,overlap_A1,modernbert_cleanliness_expected,1419,0,0.0077519379844961239,0.99061250997623895
A2,overlap_A1,modernbert_readability_expected,1419,0,0.0035236081747709656,0.92969101398721909
A2,overlap_A1,dsir_books,1419,0.25299506694855534,0,0.37996040116813695
A2,overlap_A1,dsir_wiki,1419,0.22832980972515857,0,0.4118983924672297
A2,overlap_A1,dsir_math,1419,0.17618040873854826,0,0.44008838343079415
A2,overlap_A1,qurater_writing_style,1419,0,0.0077519379844961239,0.73510509040335625
A2,overlap_A1,qurater_facts_trivia,1419,0.0049330514446793514,0.013389711064129669,0.66378191055291147
A2,overlap_A1,qurater_educational_value,1419,0,0.038054968287526428,0.79822816011792863
A2,overlap_A1,ad_en_no_ad_margin,1419,0,0.0014094432699083862,0.83431107110070468
A2,overlap_A1,rps_doc_frac_unique_words,1419,0.12473572938689217,0,0.099646010886648095
A2,overlap_A1,rps_doc_frac_no_alph_words,1419,0,0,0.83334442238036077
A2,overlap_A1,rps_doc_frac_chars_top_2gram,1419,0,0,0.94448107451950025
A2,overlap_A1,rps_doc_frac_chars_top_3gram,1419,0,0.0014094432699083862,0.9558515252724672
A2,overlap_A1,rps_lines_ending_with_terminal_punctution_mark,1419,0,0,0.35296757571719806
A2,new_only,fineweb_edu,16104,6.2096373571783408e-05,0.041418281172379535,0.6559661967758893
A2,new_only,fluency_en_fluent_margin,16104,6.2096373571783408e-05,6.2096373571783408e-05,0.78396391628419826
A2,new_only,modernbert_cleanliness_expected,16104,0,0.0073273720814704419,0.9905205063507857
A2,new_only,modernbert_readability_expected,16104,0,0.0040362642821659212,0.92931410706584483
A2,new_only,dsir_books,16104,0.28142076502732238,0,0.35995589957774782
A2,new_only,dsir_wiki,16104,0.24968951813214108,0,0.39144472618604337
A2,new_only,dsir_math,16104,0.19274714356681569,0,0.4224923540476051
A2,new_only,qurater_writing_style,16104,0,0.0063338301043219074,0.73607514635372273
A2,new_only,qurater_facts_trivia,16104,0.0026701440635866864,0.010370094386487829,0.66150944137019718
A2,new_only,qurater_educational_value,16104,0,0.050732737208147041,0.80118256159295764
A2,new_only,ad_en_no_ad_margin,16104,0,0.0021112767014406361,0.82994092460011426
A2,new_only,rps_doc_frac_unique_words,16104,0.1295330352707402,0.00031048186785891704,0.095473104250496946
A2,new_only,rps_doc_frac_no_alph_words,16104,0,0.00018628912071535022,0.83390928412212995
A2,new_only,rps_doc_frac_chars_top_2gram,16104,6.2096373571783408e-05,0.0017386984600099354,0.94472304306236554
A2,new_only,rps_doc_frac_chars_top_3gram,16104,6.2096373571783408e-05,0.0037257824143070045,0.95533805655272319
A2,new_only,rps_lines_ending_with_terminal_punctution_mark,16104,6.2096373571783408e-05,6.2096373571783408e-05,0.34655616384025784
A3,full,fineweb_edu,203752,0.011327496171816718,0.0011484549844909498,0.34597993144380018
A3,full,fluency_en_fluent_margin,203752,0.0080784483097098431,0,0.35194439728038485
A3,full,modernbert_cleanliness_expected,203752,0.051587223683693902,9.8158545682987153e-06,0.26363570760836891
A3,full,modernbert_readability_expected,203752,0.026483175625269938,0.0016245239310534376,0.4630544113579953
A3,full,dsir_books,203752,0.0081716989281086817,0.040348070202991873,0.92005079283765456
A3,full,dsir_wiki,203752,0.0072784561623934979,0.040215556166319839,0.92470030396811775
A3,full,dsir_math,203752,0.010046527150653736,0.041432722132788882,0.90908032974972264
A3,full,qurater_writing_style,203752,0.010728729043150496,0,0.21583400683971335
A3,full,qurater_facts_trivia,203752,0.015356904472103342,2.4539636420746791e-05,0.25125824516913337
A3,full,qurater_educational_value,203752,0.0035680631355765832,0.00059876712866622171,0.38011308215662543
A3,full,ad_en_no_ad_margin,203752,2.9447563704896148e-05,0.0011337312026385017,0.73582789308497831
A3,full,rps_doc_frac_unique_words,203752,0.0095066551493973063,0.049285405787427856,0.51954272969338411
A3,full,rps_doc_frac_no_alph_words,203752,0,0.0077005379088303429,0.77488064801582768
A3,full,rps_doc_frac_chars_top_2gram,203752,0.018517609643095529,0.26405630374180378,0.82517051541659425
A3,full,rps_doc_frac_chars_top_3gram,203752,0.017565471749970554,0.40385861243079824,0.85056317013830285
A3,full,rps_lines_ending_with_terminal_punctution_mark,203752,0.021059915976284895,0.0025423063331893674,0.24283947561081878
A3,overlap_A1,fineweb_edu,10000,0.0109,0.0012999999999999999,0.34560255153791414
A3,overlap_A1,fluency_en_fluent_margin,10000,0.0086,0,0.35142522668614473
A3,overlap_A1,modernbert_cleanliness_expected,10000,0.050299999999999997,0,0.26482243909251135
A3,overlap_A1,modernbert_readability_expected,10000,0.025999999999999999,0.0011999999999999999,0.46345676387260648
A3,overlap_A1,dsir_books,10000,0.0083000000000000001,0.038699999999999998,0.91963432714839366
A3,overlap_A1,dsir_wiki,10000,0.0074000000000000003,0.0385,0.92428026415183062
A3,overlap_A1,dsir_math,10000,0.0103,0.039300000000000002,0.90862104304230795
A3,overlap_A1,qurater_writing_style,10000,0.0097000000000000003,0,0.21575119089512704
A3,overlap_A1,qurater_facts_trivia,10000,0.0155,0,0.25170368849915425
A3,overlap_A1,qurater_educational_value,10000,0.0033999999999999998,0.00059999999999999995,0.380037142939737
A3,overlap_A1,ad_en_no_ad_margin,10000,0,0.0011000000000000001,0.73364296799962736
A3,overlap_A1,rps_doc_frac_unique_words,10000,0.0094999999999999998,0.048800000000000003,0.52006376612920058
A3,overlap_A1,rps_doc_frac_no_alph_words,10000,0,0.0077999999999999996,0.77617307399060287
A3,overlap_A1,rps_doc_frac_chars_top_2gram,10000,0.017299999999999999,0.26500000000000001,0.8285333333334276
A3,overlap_A1,rps_doc_frac_chars_top_3gram,10000,0.0178,0.40570000000000001,0.85271944095327012
A3,overlap_A1,rps_lines_ending_with_terminal_punctution_mark,10000,0.0212,0.0023999999999999998,0.24189876247674857
A3,new_only,fineweb_edu,193752,0.011349560262603741,0.0011406333870101987,0.34599940891530423
A3,new_only,fluency_en_fluent_margin,193752,0.0080515297906602248,0,0.351971192905423
A3,new_only,modernbert_cleanliness_expected,193752,0.05165366034931252,1.0322474090590032e-05,0.26357445758338116
A3,new_only,modernbert_readability_expected,193752,0.026508113464635205,0.0016464346174491103,0.4630336449909585
A3,new_only,dsir_books,193752,0.0081650770056567162,0.040433131012841156,0.92007228761908977
A3,new_only,dsir_wiki,193752,0.0072721829968206784,0.040304100086708781,0.9247219832187209
A3,new_only,dsir_math,193752,0.010033444816053512,0.041542796977579587,0.9091040346254099
A3,new_only,qurater_writing_style,193752,0.010781824187621289,0,0.21583828116692477
A3,new_only,qurater_facts_trivia,193752,0.015349518972707378,2.5806185226475081e-05,0.25123525478296854
A3,new_only,qurater_educational_value,193752,0.0035767372723894465,0.00059870349725422187,0.38011700155961942
A3,new_only,ad_en_no_ad_margin,193752,3.0967422271770099e-05,0.0011354721499649036,0.73594066224789556
A3,new_only,rps_doc_frac_unique_words,193752,0.0095069986374334194,0.049310458730748588,0.51951583776783938
A3,new_only,rps_doc_frac_no_alph_words,193752,0,0.0076954044345348693,0.77481394284763427
A3,new_only,rps_doc_frac_chars_top_2gram,193752,0.01858045336306206,0.26400759734093066,0.82499695241250481
A3,new_only,rps_doc_frac_chars_top_3gram,193752,0.017553367191048351,0.40376357405342911,0.85045187989020399
A3,new_only,rps_lines_ending_with_terminal_punctution_mark,193752,0.02105268590775837,0.0025496511003757381,0.24288802804558438
A1+A2+A3,unique_union,fineweb_edu,261086,0.010410362868939736,0.0053775384356112548,0.37494407913367972
A1+A2+A3,unique_union,fluency_en_fluent_margin,261086,0.0079935346973794077,0.0019725301241736441,0.4178163476040474
A1+A2+A3,unique_union,modernbert_cleanliness_expected,261086,0.040293236711275215,0.0024704503496932044,0.38578394360333967
A1+A2+A3,unique_union,modernbert_readability_expected,261086,0.021598247320806171,0.0034624606451514059,0.5364003961031657
A1+A2+A3,unique_union,dsir_books,261086,0.025386271190335753,0.032000949878584067,0.88776703340499541
A1+A2+A3,unique_union,dsir_wiki,261086,0.022747293995082081,0.031920516611384751,0.89373577850728225
A1+A2+A3,unique_union,dsir_math,261086,0.021291834874332595,0.032832093639643643,0.88132393819516519
A1+A2+A3,unique_union,qurater_writing_style,261086,0.010042667933171446,0.0023210742820373364,0.28248132286038052
A1+A2+A3,unique_union,qurater_facts_trivia,261086,0.013585561845522166,0.0025853550171207954,0.3097212192257513
A1+A2+A3,unique_union,qurater_educational_value,261086,0.0045502248301326001,0.0055996874593045969,0.42019794569822372
A1+A2+A3,unique_union,ad_en_no_ad_margin,261086,0.0019955110576591623,0.0030526339979929985,0.73482711381053967
A1+A2+A3,unique_union,rps_doc_frac_unique_words,261086,0.017028871712768973,0.038634779344736983,0.48421727216402638
A1+A2+A3,unique_union,rps_doc_frac_no_alph_words,261086,0.0020070015244019212,0.0076871222509058319,0.79514381259606814
A1+A2+A3,unique_union,rps_doc_frac_chars_top_2gram,261086,0.015799391771293751,0.21231701431712155,0.83391327055043585
A1+A2+A3,unique_union,rps_doc_frac_chars_top_3gram,261086,0.015033360655109811,0.34416245987912031,0.85875673568709621
A1+A2+A3,unique_union,rps_lines_ending_with_terminal_punctution_mark,261086,0.017588074427583249,0.042978175773499917,0.30838769728023113
