partition,high,low,n,rate
A2_full,cleanliness,no_ads,591,0.033727101523711694
A2_full,cleanliness,nonrepetition,9525,0.5435713062831707
A2_full,no_ads,value,18,0.001027221366204417
A2_full,no_ads,expression,6,0.000342407122068139
A2_full,no_ads,cleanliness,16,0.0009130856588483707
A2_full,no_ads,nonrepetition,4450,0.2539519488672031
A2_full,nonrepetition,value,16,0.0009130856588483707
A2_full,nonrepetition,expression,7,0.0003994749757461622
A2_full,nonrepetition,cleanliness,16,0.0009130856588483707
A2_full,nonrepetition,no_ads,0,0.0
A2_overlap,value,expression,0,0.0
A2_overlap,value,cleanliness,0,0.0
A2_overlap,value,no_ads,48,0.03382663847780127
A2_overlap,value,nonrepetition,700,0.49330514446793516
A2_overlap,expression,value,0,0.0
A2_overlap,expression,cleanliness,0,0.0
A2_overlap,expression,no_ads,31,0.021846370683579985
A2_overlap,expression,nonrepetition,652,0.4594785059901339
A2_overlap,cleanliness,value,0,0.0
A2_overlap,cleanliness,expression,0,0.0
A2_overlap,cleanliness,no_ads,45,0.03171247357293869
A2_overlap,cleanliness,nonrepetition,744,0.5243128964059197
A2_overlap,no_ads,value,0,0.0
A2_overlap,no_ads,expression,0,0.0
A2_overlap,no_ads,cleanliness,0,0.0
A2_overlap,no_ads,nonrepetition,381,0.26849894291754756
A2_overlap,nonrepetition,value,1,0.0007047216349541931
A2_overlap,nonrepetition,expression,0,0.0
A2_overlap,nonrepetition,cleanliness,0,0.0
A2_overlap,nonrepetition,no_ads,0,0.0
A2_new,value,expression,0,0.0
A2_new,value,cleanliness,4,0.00024838549428713363
A2_new,value,no_ads,597,0.0370715350223547
A2_new,value,nonrepetition,8201,0.5092523596621957
A2_new,expression,value,2,0.00012419274714356682
A2_new,expression,cleanliness,0,0.0
A2_new,expression,no_ads,443,0.02750869349230005
A2_new,expression,nonrepetition,7524,0.4672131147540984
A2_new,cleanliness,value,26,0.0016145057128663686
A2_new,cleanliness,expression,0,0.0
A2_new,cleanliness,no_ads,546,0.03390461997019374
A2_new,cleanliness,nonrepetition,8781,0.5452682563338301
A2_new,no_ads,value,18,0.0011177347242921013
A2_new,no_ads,expression,6,0.00037257824143070045
A2_new,no_ads,cleanliness,16,0.0009935419771485345
A2_new,no_ads,nonrepetition,4069,0.2526701440635867
A2_new,nonrepetition,value,15,0.0009314456035767511
A2_new,nonrepetition,expression,7,0.00043467461500248385
A2_new,nonrepetition,cleanliness,16,0.0009935419771485345
A2_new,nonrepetition,no_ads,0,0.0
A3_full,value,expression,130,0.0006380305469394165
A3_full,value,cleanliness,954,0.004682162629078487
A3_full,value,no_ads,773,0.003793827790647454
A3_full,value,nonrepetition,1093,0.005364364521575248
A3_full,expression,value,2,9.815854568298715e-06
A3_full,expression,cleanliness,11,5.3987200125642935e-05
A3_full,expression,no_ads,50,0.0002453963642074679
A3_full,expression,nonrepetition,46,0.00022576465507087047
A3_full,cleanliness,value,20,9.815854568298716e-05
A3_full,cleanliness,expression,3,1.4723781852448074e-05
A3_full,cleanliness,no_ads,155,0.0007607287290431505
A3_full,cleanliness,nonrepetition,259,0.0012711531665946837
A3_full,no_ads,value,6084,0.029859829596764694
A3_full,no_ads,expression,8249,0.04048549216694806
A3_full,no_ads,cleanliness,13908,0.06825945266794928
A3_full,no_ads,nonrepetition,5005,0.024564176057167538
A3_full,nonrepetition,value,30591,0.15013840354941302
A3_full,nonrepetition,expression,42404,0.20811574855706938
A3_full,nonrepetition,cleanliness,53535,0.26274588715693586
A3_full,nonrepetition,no_ads,4739,0.023258667399583807
A3_overlap,value,expression,7,0.0007
A3_overlap,value,cleanliness,54,0.0054
A3_overlap,value,no_ads,39,0.0039
A3_overlap,value,nonrepetition,47,0.0047
A3_overlap,expression,value,1,0.0001
A3_overlap,expression,cleanliness,0,0.0
A3_overlap,expression,no_ads,4,0.0004
A3_overlap,expression,nonrepetition,0,0.0
A3_overlap,cleanliness,value,2,0.0002
A3_overlap,cleanliness,expression,0,0.0
A3_overlap,cleanliness,no_ads,11,0.0011
A3_overlap,cleanliness,nonrepetition,9,0.0009
A3_overlap,no_ads,value,300,0.03
A3_overlap,no_ads,expression,411,0.0411
A3_overlap,no_ads,cleanliness,674,0.0674
A3_overlap,no_ads,nonrepetition,227,0.0227
A3_overlap,nonrepetition,value,1479,0.1479
A3_overlap,nonrepetition,expression,2044,0.2044
A3_overlap,nonrepetition,cleanliness,2634,0.2634
A3_overlap,nonrepetition,no_ads,250,0.025
A3_new,value,expression,123,0.000634832156571287
A3_new,value,cleanliness,900,0.004645113340765515
A3_new,value,no_ads,734,0.003788347991246542
A3_new,value,nonrepetition,1046,0.005398653949378587
A3_new,expression,value,1,5.161237045295016e-06
A3_new,expression,cleanliness,11,5.677360749824518e-05
A3_new,expression,no_ads,46,0.00023741690408357076
A3_new,expression,nonrepetition,46,0.00023741690408357076
A3_new,cleanliness,value,18,9.29022668153103e-05
A3_new,cleanliness,expression,3,1.548371113588505e-05
A3_new,cleanliness,no_ads,144,0.0007432181345224824
A3_new,cleanliness,nonrepetition,250,0.001290309261323754
A3_new,no_ads,value,5784,0.029852595069986373
A3_new,no_ads,expression,7838,0.040453775961022335
A3_new,no_ads,cleanliness,13234,0.06830381105743424
A3_new,no_ads,nonrepetition,4778,0.024660390602419587
A3_new,nonrepetition,value,29112,0.1502539328626285
A3_new,nonrepetition,expression,40360,0.20830752714810685
A3_new,nonrepetition,cleanliness,50901,0.2627121268425616
A3_new,nonrepetition,no_ads,4489,0.023168793096329326
union_unique,value,expression,208,0.0007966723608312969
union_unique,value,cleanliness,1105,0.004232321916916265
union_unique,value,no_ads,3215,0.012313950192656825
union_unique,value,nonrepetition,11278,0.04319649464161234
union_unique,expression,value,329,0.0012601211861225804
union_unique,expression,cleanliness,65,0.0002489601127597803
union_unique,expression,no_ads,3393,0.012995717886060533
union_unique,expression,nonrepetition,9042,0.034632266762675896
union_unique,cleanliness,value,452,0.001731230322575703
union_unique,cleanliness,expression,9,3.447140022827727e-05
union_unique,cleanliness,no_ads,2770,0.01060953095914756
union_unique,cleanliness,nonrepetition,10776,0.04127375653999065
union_unique,no_ads,value,6937,0.026569789264839938
union_unique,no_ads,expression,9218,0.03530637414491777
union_unique,no_ads,cleanliness,14483,0.05547214327845997
union_unique,no_ads,nonrepetition,11370,0.043548868955056955
union_unique,nonrepetition,value,32749,0.12543376511953916
union_unique,nonrepetition,expression,43822,0.16784507786706296
union_unique,nonrepetition,cleanliness,54251,0.20778977042047447
union_unique,nonrepetition,no_ads,6428,0.02462024007415181
