dataset,role,scale_label,total_scale_tokens,log10_scale,index,domain,proportion,expected_tokens
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_arxiv,0.007992007992007994,7992.007992007993
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_freelaw,0.02497502497502498,24975.02497502498
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_pubmed_central,0.006993006993006994,6993.006993006994
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_wikipedia_en,0.014985014985014986,14985.014985014986
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_github,0.31468531468531474,314685.3146853147
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_stackexchange,0.2157842157842158,215784.2157842158
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_gutenberg_pg_19,0.10889110889110891,108891.1088911089
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_pile_cc,0.005994005994005995,5994.005994005995
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_europarl,0.008991008991008992,8991.008991008992
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_pubmed_abstracts,0.05394605394605395,53946.05394605395
A4_A5_train_1m,fit,1M,1000000,6.0,4,train_the_pile_uspto_backgrounds,0.23676323676323677,236763.23676323675
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_arxiv,0.19280719280719283,192807.19280719283
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_freelaw,0.0029970029970029974,2997.0029970029973
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_pubmed_central,0.059940059940059943,59940.059940059946
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_wikipedia_en,0.009990009990009992,9990.009990009992
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_dm_mathematics,0.06093906093906094,60939.060939060946
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_github,0.03096903096903097,30969.030969030973
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_stackexchange,0.41658341658341663,416583.41658341663
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_gutenberg_pg_19,0.1278721278721279,127872.1278721279
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_pile_cc,0.02197802197802198,21978.02197802198
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_europarl,0.007992007992007994,7992.007992007993
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_hackernews,0.0009990009990009992,999.0009990009992
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_pubmed_abstracts,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,5,train_the_pile_uspto_backgrounds,0.06693306693306694,66933.06693306695
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_arxiv,0.5065065065065065,506506.5065065065
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_freelaw,0.005005005005005005,5005.005005005005
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_pubmed_central,0.011011011011011011,11011.01101101101
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_wikipedia_en,0.13813813813813816,138138.13813813817
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_github,0.2102102102102102,210210.21021021018
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_stackexchange,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_enron_emails,0.002002002002002002,2002.002002002002
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_gutenberg_pg_19,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_pile_cc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_ubuntu_irc,0.026026026026026026,26026.026026026026
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_europarl,0.0990990990990991,99099.0990990991
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_pubmed_abstracts,0.001001001001001001,1001.001001001001
A4_A5_train_1m,fit,1M,1000000,6.0,6,train_the_pile_uspto_backgrounds,0.001001001001001001,1001.001001001001
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_freelaw,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_nih_exporter,0.009,9000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_pubmed_central,0.319,319000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_wikipedia_en,0.016,16000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_dm_mathematics,0.004,4000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_philpapers,0.001,1000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_stackexchange,0.028,28000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_enron_emails,0.019,19000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_gutenberg_pg_19,0.004,4000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_pile_cc,0.185,185000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_ubuntu_irc,0.008,8000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_hackernews,0.004,4000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_pubmed_abstracts,0.001,1000.0
A4_A5_train_1m,fit,1M,1000000,6.0,7,train_the_pile_uspto_backgrounds,0.402,402000.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_freelaw,0.5675675675675675,567567.5675675676
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_nih_exporter,0.014014014014014014,14014.014014014014
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_pubmed_central,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_wikipedia_en,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_philpapers,0.022022022022022022,22022.02202202202
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_stackexchange,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_gutenberg_pg_19,0.003003003003003003,3003.003003003003
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_pile_cc,0.3933933933933934,393393.39339339343
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_pubmed_abstracts,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,8,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_freelaw,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_pubmed_central,0.828,828000.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_wikipedia_en,0.003,3000.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_stackexchange,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_gutenberg_pg_19,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_pile_cc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_pubmed_abstracts,0.169,169000.0
A4_A5_train_1m,fit,1M,1000000,6.0,9,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_arxiv,0.006,6000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_freelaw,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_pubmed_central,0.307,307000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_wikipedia_en,0.59,590000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_github,0.005,5000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_stackexchange,0.036,36000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_gutenberg_pg_19,0.014,14000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_pile_cc,0.042,42000.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_pubmed_abstracts,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,10,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_freelaw,0.924,924000.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_pubmed_central,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_wikipedia_en,0.003,3000.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_github,0.004,4000.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_stackexchange,0.001,1000.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_gutenberg_pg_19,0.019,19000.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_pile_cc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_pubmed_abstracts,0.049,49000.0
A4_A5_train_1m,fit,1M,1000000,6.0,11,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_freelaw,0.5911823647294588,591182.3647294588
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_nih_exporter,0.04609218436873747,46092.18436873747
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_pubmed_central,0.1342685370741483,134268.5370741483
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_wikipedia_en,0.002004008016032064,2004.008016032064
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_philpapers,0.013026052104208414,13026.052104208415
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_stackexchange,0.002004008016032064,2004.008016032064
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_gutenberg_pg_19,0.1713426853707415,171342.6853707415
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_pile_cc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_europarl,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_hackernews,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_pubmed_abstracts,0.04008016032064128,40080.160320641284
A4_A5_train_1m,fit,1M,1000000,6.0,12,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_freelaw,0.006,6000.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_nih_exporter,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_pubmed_central,0.818,818000.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_wikipedia_en,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_dm_mathematics,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_github,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_philpapers,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_stackexchange,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_enron_emails,0.002,2000.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_gutenberg_pg_19,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_pile_cc,0.161,161000.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_europarl,0.001,1000.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_hackernews,0.012,12000.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_pubmed_abstracts,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,13,train_the_pile_uspto_backgrounds,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_arxiv,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_freelaw,0.00899100899100899,8991.00899100899
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_nih_exporter,0.03396603396603397,33966.03396603397
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_pubmed_central,0.1858141858141858,185814.1858141858
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_wikipedia_en,0.045954045954045945,45954.04595404595
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_dm_mathematics,0.01898101898101898,18981.01898101898
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_github,0.07192807192807192,71928.07192807192
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_philpapers,0.007992007992007992,7992.007992007992
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_stackexchange,0.02597402597402597,25974.025974025968
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_gutenberg_pg_19,0.0779220779220779,77922.07792207791
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_pile_cc,0.012987012987012984,12987.012987012984
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_ubuntu_irc,0.03496503496503497,34965.03496503497
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_europarl,0.001998001998001998,1998.001998001998
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_hackernews,0.10789210789210787,107892.10789210787
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_pubmed_abstracts,0.34365634365634357,343656.3436563436
A4_A5_train_1m,fit,1M,1000000,6.0,14,train_the_pile_uspto_backgrounds,0.020979020979020976,20979.020979020977
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_arxiv,0.003006012024048096,3006.012024048096
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_freelaw,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_nih_exporter,0.001002004008016032,1002.004008016032
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_pubmed_central,0.01603206412825651,16032.064128256512
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_wikipedia_en,0.13026052104208416,130260.52104208416
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_dm_mathematics,0.008016032064128256,8016.032064128256
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_github,0.10020040080160321,100200.4008016032
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_philpapers,0.001002004008016032,1002.004008016032
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_stackexchange,0.37975951903807614,379759.51903807616
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_gutenberg_pg_19,0.033066132264529056,33066.13226452906
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_pile_cc,0.004008016032064128,4008.016032064128
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_ubuntu_irc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_europarl,0.003006012024048096,3006.012024048096
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_hackernews,0.027054108216432865,27054.108216432865
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_pubmed_abstracts,0.21442885771543085,214428.85771543084
A4_A5_train_1m,fit,1M,1000000,6.0,15,train_the_pile_uspto_backgrounds,0.07915831663326653,79158.31663326653
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_arxiv,0.094,94000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_freelaw,0.07,70000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_nih_exporter,0.022,22000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_pubmed_central,0.131,131000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_wikipedia_en,0.002,2000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_dm_mathematics,0.222,222000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_github,0.1,100000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_philpapers,0.006,6000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_stackexchange,0.133,133000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_enron_emails,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_gutenberg_pg_19,0.04,40000.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_pile_cc,0.0,0.0
A4_A5_train_1m,fit,1M,1000000,6.0,16,train_the_pile_ubuntu_irc,0.087,87000.0
