axis,N0_B,lambda_Q,target_multiplier,target_N_B,target_in_B1,required_gain,required_delta_QB,required_t_QA,feasible_path,formal_coordinate,status
Q_A_topsis_0_1,0.1,1.0,1.25,0.125,True,0.056574355723260146,0.15628478568845197,0.0217136539927554,False,True,CONDITIONAL
Q_A_topsis_0_1,0.1,1.0,1.5,0.15000000000000002,True,0.0997168478029217,0.2754644925103452,0.038272059889330384,False,False,CONDITIONAL
Q_A_topsis_0_1,0.1,1.0,2.0,0.2,True,0.16257846672493803,0.4491176347451981,0.062398811758568484,False,False,CONDITIONAL
Q_A_topsis_0_1,0.1,1.0,4.0,0.4,True,0.29102425679711524,0.803944879658228,0.11169725107436371,False,False,CONDITIONAL
Q_A_topsis_0_1,1.0,1.0,1.25,1.25,True,0.02586086427279509,0.07143978183971125,0.009925589988508024,True,True,CONDITIONAL
Q_A_topsis_0_1,1.0,1.0,1.5,1.5,True,0.0455818512429313,0.1259183557941171,0.01749464989190022,False,True,CONDITIONAL
Q_A_topsis_0_1,1.0,1.0,2.0,2.0,True,0.07431670423644147,0.20529743637697456,0.02852329789782429,False,True,CONDITIONAL
Q_A_topsis_0_1,1.0,1.0,4.0,4.0,True,0.133030923797634,0.3674935251114501,0.05105824737639589,False,False,CONDITIONAL
Q_A_topsis_0_1,10.0,1.0,1.25,12.5,False,0.011821333047208941,0.032656041385112584,0.004537114603228011,True,True,CONDITIONAL
Q_A_topsis_0_1,10.0,1.0,1.5,15.0,False,0.020836049358871143,0.05755889690682514,0.007997029052661203,True,True,CONDITIONAL
Q_A_topsis_0_1,10.0,1.0,2.0,20.0,False,0.03397111954506794,0.09384409366795313,0.013038365636126216,True,True,CONDITIONAL
Q_A_topsis_0_1,10.0,1.0,4.0,40.0,False,0.06081014304862348,0.1679860080161876,0.023339380334558416,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,0.0,1.25,0.125,True,0.056574355723260146,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,0.1,0.0,1.5,0.15000000000000002,True,0.0997168478029217,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,0.1,0.0,2.0,0.2,True,0.16257846672493803,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,0.1,0.0,4.0,0.4,True,0.29102425679711524,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,1.0,0.0,1.25,1.25,True,0.02586086427279509,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,1.0,0.0,1.5,1.5,True,0.0455818512429313,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,1.0,0.0,2.0,2.0,True,0.07431670423644147,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,1.0,0.0,4.0,4.0,True,0.133030923797634,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,10.0,0.0,1.25,12.5,False,0.011821333047208941,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,10.0,0.0,1.5,15.0,False,0.020836049358871143,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,10.0,0.0,2.0,20.0,False,0.03397111954506794,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,10.0,0.0,4.0,40.0,False,0.06081014304862348,,,False,False,NO_QUALITY_EFFECT
quality_score_soft_proxy_0_1,0.1,0.5,1.25,0.125,True,0.056574355723260146,0.31256957137690394,0.16755277482743383,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,0.5,1.5,0.15000000000000002,True,0.0997168478029217,0.5509289850206904,0.2953252287688911,False,False,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,0.5,2.0,0.2,True,0.16257846672493803,0.8982352694903962,0.4814986026567025,False,False,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,0.5,4.0,0.4,True,0.29102425679711524,1.607889759316456,0.8619085651982105,False,False,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,0.5,1.25,1.25,True,0.02586086427279509,0.1428795636794225,0.07659052432763201,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,0.5,1.5,1.5,True,0.0455818512429313,0.2518367115882342,0.1349969532995389,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,0.5,2.0,2.0,True,0.07431670423644147,0.4105948727539491,0.22009919249908375,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,0.5,4.0,4.0,True,0.133030923797634,0.7349870502229002,0.3939894698789512,False,False,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,0.5,1.25,12.5,False,0.011821333047208941,0.06531208277022517,0.0350105118988523,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,0.5,1.5,15.0,False,0.020836049358871143,0.11511779381365028,0.06170884037279238,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,0.5,2.0,20.0,False,0.03397111954506794,0.18768818733590625,0.10061016640849518,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,0.5,4.0,40.0,False,0.06081014304862348,0.3359720160323752,0.18009764451035457,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,1.0,1.25,0.125,True,0.056574355723260146,0.15628478568845197,0.08377638741371692,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,1.0,1.5,0.15000000000000002,True,0.0997168478029217,0.2754644925103452,0.14766261438444556,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,1.0,2.0,0.2,True,0.16257846672493803,0.4491176347451981,0.24074930132835126,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,0.1,1.0,4.0,0.4,True,0.29102425679711524,0.803944879658228,0.43095428259910523,False,False,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,1.0,1.25,1.25,True,0.02586086427279509,0.07143978183971125,0.038295262163816006,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,1.0,1.5,1.5,True,0.0455818512429313,0.1259183557941171,0.06749847664976945,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,1.0,2.0,2.0,True,0.07431670423644147,0.20529743637697456,0.11004959624954187,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,1.0,1.0,4.0,4.0,True,0.133030923797634,0.3674935251114501,0.1969947349394756,False,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,1.0,1.25,12.5,False,0.011821333047208941,0.032656041385112584,0.01750525594942615,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,1.0,1.5,15.0,False,0.020836049358871143,0.05755889690682514,0.03085442018639619,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,1.0,2.0,20.0,False,0.03397111954506794,0.09384409366795313,0.05030508320424759,True,True,CONDITIONAL
quality_score_soft_proxy_0_1,10.0,1.0,4.0,40.0,False,0.06081014304862348,0.1679860080161876,0.09004882225517728,True,True,CONDITIONAL
