mapping_version,quality_score_version,dataset,role,scale_label,total_scale_tokens,log10_scale,index,mixture_domain,proportion,quality_domain,mapping_type,mapped,quality_model,quality_score_0_100,quality_contribution_0_100,quality_contribution_status
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,arxiv,0.0250501002004008,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,1.5997585068944589,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,freelaw,0.002004008016032,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,nih_exporter,0.0501002004008016,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,pubmed_central,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,wikipedia_en,0.0470941883767535,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,2.8774976205009732,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,dm_mathematics,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,github,0.3046092184368737,github,direct,True,TOPSIS_CRITIC,51.70140753241471,15.748725340535142,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,philpapers,0.0090180360721442,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,stackexchange,0.003006012024048,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,0.18453268537865114,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,enron_emails,0.001002004008016,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,gutenberg_pg_19,0.1032064128256513,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,5.782915440402341,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,pile_cc,0.2995991983967935,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,19.274927130376252,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,ubuntu_irc,0.0240480961923847,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,europarl,0.0400801603206412,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,hackernews,0.0901803607214428,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,pubmed_abstracts,0.001002004008016,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,2,uspto_backgrounds,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,arxiv,0.679,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,43.362542165159006,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,freelaw,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,nih_exporter,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,pubmed_central,0.044,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,wikipedia_en,0.0,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,dm_mathematics,0.001,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,github,0.0,github,direct,True,TOPSIS_CRITIC,51.70140753241471,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,philpapers,0.003,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,stackexchange,0.0,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,enron_emails,0.001,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,gutenberg_pg_19,0.0,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,pile_cc,0.269,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,17.3063059775086,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,ubuntu_irc,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,europarl,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,hackernews,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,pubmed_abstracts,0.003,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,3,uspto_backgrounds,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,arxiv,0.0079920079920079,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,0.510388488273535,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,freelaw,0.0249750249750249,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,nih_exporter,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,pubmed_central,0.0069930069930069,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,wikipedia_en,0.0149850149850149,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,0.9155980058005682,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,dm_mathematics,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,github,0.3146853146853147,github,direct,True,TOPSIS_CRITIC,51.70140753241471,16.269673699011623,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,philpapers,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,stackexchange,0.2157842157842158,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,13.24653410646232,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,enron_emails,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,gutenberg_pg_19,0.1088911088911089,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,6.101443289117169,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,pile_cc,0.0059940059940059,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,0.38562863109028506,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,ubuntu_irc,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,europarl,0.0089910089910089,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,hackernews,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,pubmed_abstracts,0.0539460539460539,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,4,uspto_backgrounds,0.2367632367632367,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,arxiv,0.1928071928071928,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,12.313122279599174,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,freelaw,0.0029970029970029,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,nih_exporter,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,pubmed_central,0.0599400599400599,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,wikipedia_en,0.0099900099900099,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,0.6103986705337101,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,dm_mathematics,0.0609390609390609,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,github,0.0309690309690309,github,direct,True,TOPSIS_CRITIC,51.70140753241471,1.6011424910138385,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,philpapers,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,stackexchange,0.4165834165834166,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,25.573170011086976,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,enron_emails,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,gutenberg_pg_19,0.1278721278721279,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,7.164997623917412,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,pile_cc,0.0219780219780219,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,1.4139716473310624,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,ubuntu_irc,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,europarl,0.0079920079920079,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,hackernews,0.0009990009990009,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,pubmed_abstracts,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,5,uspto_backgrounds,0.0669330669330669,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,arxiv,0.5065065065065065,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,32.34670065584061,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,freelaw,0.005005005005005,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,nih_exporter,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,pubmed_central,0.011011011011011,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,wikipedia_en,0.1381381381381381,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,8.440365520539178,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,dm_mathematics,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,github,0.2102102102102102,github,direct,True,TOPSIS_CRITIC,51.70140753241471,10.868163745552641,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,philpapers,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,stackexchange,0.0,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,enron_emails,0.002002002002002,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,gutenberg_pg_19,0.0,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,pile_cc,0.0,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,ubuntu_irc,0.026026026026026,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,europarl,0.0990990990990991,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,hackernews,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,pubmed_abstracts,0.001001001001001,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,6,uspto_backgrounds,0.001001001001001,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,arxiv,0.0,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,freelaw,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,nih_exporter,0.009,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,pubmed_central,0.319,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,wikipedia_en,0.016,wikipedia,near_direct,True,TOPSIS_CRITIC,61.10090692042493,0.977614510726799,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,dm_mathematics,0.004,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,github,0.0,github,direct,True,TOPSIS_CRITIC,51.70140753241471,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,philpapers,0.001,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,stackexchange,0.028,stackexchange,direct,True,TOPSIS_CRITIC,61.38787333596658,1.7188604534070644,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,enron_emails,0.019,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,gutenberg_pg_19,0.004,book,near_direct,True,TOPSIS_CRITIC,56.03252048079162,0.22413008192316647,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,pile_cc,0.185,commoncrawl,near_direct,True,TOPSIS_CRITIC,64.33570995356357,11.90210634140926,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,ubuntu_irc,0.008,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,europarl,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,hackernews,0.004,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,pubmed_abstracts,0.001,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,7,uspto_backgrounds,0.402,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,8,arxiv,0.0,arxiv,direct,True,TOPSIS_CRITIC,63.862359595226806,0.0,observed_mapping
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,8,freelaw,0.5675675675675675,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,8,nih_exporter,0.014014014014014,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
A16-domain_mapping_guide@0ae884c0d16d,q1-scoring-20260925-r01,A4_A5_train_1m,fit,1M,1000000,6.0,8,pubmed_central,0.0,,inferred,False,TOPSIS_CRITIC,,,unmapped_domain
